"part_id","hh_id","part_age","part_gender"
10739701,"HH10739701","60-69","M"
10739702,"HH10739702","60-69","M"
10739705,"HH10739705","60-69","M"
10739706,"HH10739706","60-69","M"
10739707,"HH10739707","60-69","M"
10739801,"HH10739801","60-69","F"
10739804,"HH10739804","60-69","F"
10739805,"HH10739805","60-69","F"
10739806,"HH10739806","60-69","F"
10739807,"HH10739807","60-69","F"
10739901,"HH10739901","60-69","M"
10739902,"HH10739902","60-69","M"
10739904,"HH10739904","60-69","M"
10739905,"HH10739905","60-69","M"
10739906,"HH10739906","60-69","M"
10739907,"HH10739907","60-69","M"
10740001,"HH10740001","30-39","F"
10740007,"HH10740007","30-39","F"
10740101,"HH10740101","60-69","F"
10740102,"HH10740102","60-69","F"
10740104,"HH10740104","60-69","F"
10740105,"HH10740105","60-69","F"
10740106,"HH10740106","60-69","F"
10740107,"HH10740107","60-69","F"
10740108,"HH10740108","60-69","F"
10740201,"HH10740201","18-29","F"
10740301,"HH10740301","60-69","M"
10740302,"HH10740302","60-69","M"
10740305,"HH10740305","60-69","M"
10740306,"HH10740306","60-69","M"
10740307,"HH10740307","60-69","M"
10740308,"HH10740308","60-69","M"
10740401,"HH10740401","40-49","F"
10740402,"HH10740402","40-49","F"
10740404,"HH10740404","40-49","F"
10740405,"HH10740405","40-49","F"
10740406,"HH10740406","40-49","F"
10740407,"HH10740407","40-49","F"
10740408,"HH10740408","40-49","F"
10740501,"HH10740501","60-69","F"
10740502,"HH10740502","60-69","F"
10740504,"HH10740504","60-69","F"
10740505,"HH10740505","60-69","F"
10740506,"HH10740506","60-69","F"
10740508,"HH10740508","60-69","F"
10740601,"HH10740601","70-120","F"
10740602,"HH10740602","70-120","F"
10740604,"HH10740604","70-120","F"
10740605,"HH10740605","70-120","F"
10740606,"HH10740606","70-120","F"
10740607,"HH10740607","70-120","F"
10740608,"HH10740608","70-120","F"
10740701,"HH10740701","60-69","F"
10740702,"HH10740702","60-69","F"
10740704,"HH10740704","60-69","F"
10740705,"HH10740705","60-69","F"
10740706,"HH10740706","60-69","F"
10740707,"HH10740707","60-69","F"
10740708,"HH10740708","60-69","F"
10740801,"HH10740801","70-120","M"
10740804,"HH10740804","70-120","M"
10740805,"HH10740805","70-120","M"
10740807,"HH10740807","70-120","M"
10740808,"HH10740808","70-120","M"
10740901,"HH10740901","70-120","M"
10740902,"HH10740902","70-120","M"
10740905,"HH10740905","70-120","M"
10740907,"HH10740907","70-120","M"
10740908,"HH10740908","70-120","M"
10741001,"HH10741001","60-69","F"
10741002,"HH10741002","60-69","F"
10741004,"HH10741004","60-69","F"
10741005,"HH10741005","60-69","F"
10741006,"HH10741006","60-69","F"
10741007,"HH10741007","60-69","F"
10741008,"HH10741008","60-69","F"
10741101,"HH10741101","30-39","F"
10741104,"HH10741104","30-39","F"
10741105,"HH10741105","30-39","F"
10741201,"HH10741201","60-69","F"
10741202,"HH10741202","60-69","F"
10741204,"HH10741204","60-69","F"
10741205,"HH10741205","60-69","F"
10741206,"HH10741206","60-69","F"
10741207,"HH10741207","60-69","F"
10741208,"HH10741208","60-69","F"
10741301,"HH10741301","18-29","F"
10741304,"HH10741304","18-29","F"
10741305,"HH10741305","18-29","F"
10741306,"HH10741306","18-29","F"
10741401,"HH10741401","70-120","F"
10741402,"HH10741402","70-120","F"
10741404,"HH10741404","70-120","F"
10741405,"HH10741405","70-120","F"
10741406,"HH10741406","70-120","F"
10741407,"HH10741407","70-120","F"
10741408,"HH10741408","70-120","F"
10741501,"HH10741501","70-120","F"
10741502,"HH10741502","70-120","F"
10741504,"HH10741504","70-120","F"
10741505,"HH10741505","70-120","F"
10741506,"HH10741506","70-120","F"
10741507,"HH10741507","70-120","F"
10741508,"HH10741508","70-120","F"
10741601,"HH10741601","18-29","F"
10741602,"HH10741602","18-29","F"
10741604,"HH10741604","18-29","F"
10741605,"HH10741605","18-29","F"
10741606,"HH10741606","18-29","F"
10741607,"HH10741607","18-29","F"
10741608,"HH10741608","18-29","F"
10741701,"HH10741701","50-59","F"
10741702,"HH10741702","50-59","F"
10741705,"HH10741705","50-59","F"
10741708,"HH10741708","50-59","F"
10741801,"HH10741801","30-39","F"
10741802,"HH10741802","30-39","F"
10741901,"HH10741901","60-69","F"
10741905,"HH10741905","60-69","F"
10741907,"HH10741907","60-69","F"
10742001,"HH10742001","70-120","M"
10742002,"HH10742002","70-120","M"
10742004,"HH10742004","70-120","M"
10742005,"HH10742005","70-120","M"
10742006,"HH10742006","70-120","M"
10742007,"HH10742007","70-120","M"
10742101,"HH10742101","50-59","M"
10742102,"HH10742102","50-59","M"
10742104,"HH10742104","50-59","M"
10742105,"HH10742105","50-59","M"
10742106,"HH10742106","50-59","M"
10742108,"HH10742108","50-59","M"
10742201,"HH10742201","60-69","M"
10742202,"HH10742202","60-69","M"
10742204,"HH10742204","60-69","M"
10742205,"HH10742205","60-69","M"
10742206,"HH10742206","60-69","M"
10742207,"HH10742207","60-69","M"
10742208,"HH10742208","60-69","M"
10742301,"HH10742301","40-49","F"
10742302,"HH10742302","40-49","F"
10742304,"HH10742304","40-49","F"
10742305,"HH10742305","40-49","F"
10742306,"HH10742306","40-49","F"
10742308,"HH10742308","40-49","F"
10742401,"HH10742401","70-120","F"
10742402,"HH10742402","70-120","F"
10742405,"HH10742405","70-120","F"
10742406,"HH10742406","70-120","F"
10742407,"HH10742407","70-120","F"
10742408,"HH10742408","70-120","F"
10742501,"HH10742501","60-69","M"
10742502,"HH10742502","60-69","M"
10742504,"HH10742504","60-69","M"
10742505,"HH10742505","60-69","M"
10742506,"HH10742506","60-69","M"
10742507,"HH10742507","60-69","M"
10742508,"HH10742508","60-69","M"
10742601,"HH10742601","60-69","M"
10742602,"HH10742602","60-69","M"
10742604,"HH10742604","60-69","M"
10742605,"HH10742605","60-69","M"
10742606,"HH10742606","60-69","M"
10742608,"HH10742608","60-69","M"
10742701,"HH10742701","60-69","F"
10742702,"HH10742702","60-69","F"
10742704,"HH10742704","60-69","F"
10742705,"HH10742705","60-69","F"
10742706,"HH10742706","60-69","F"
10742708,"HH10742708","60-69","F"
10742801,"HH10742801","70-120","M"
10742802,"HH10742802","70-120","M"
10742804,"HH10742804","70-120","M"
10742901,"HH10742901","60-69","M"
10742902,"HH10742902","60-69","M"
10742904,"HH10742904","60-69","M"
10742905,"HH10742905","60-69","M"
10742906,"HH10742906","60-69","M"
10742907,"HH10742907","60-69","M"
10742908,"HH10742908","60-69","M"
10743001,"HH10743001","50-59","F"
10743002,"HH10743002","50-59","F"
10743004,"HH10743004","50-59","F"
10743005,"HH10743005","50-59","F"
10743007,"HH10743007","50-59","F"
10743008,"HH10743008","50-59","F"
10743101,"HH10743101","50-59","F"
10743102,"HH10743102","50-59","F"
10743104,"HH10743104","50-59","F"
10743105,"HH10743105","50-59","F"
10743106,"HH10743106","50-59","F"
10743107,"HH10743107","50-59","F"
10743201,"HH10743201","30-39","M"
10743202,"HH10743202","30-39","M"
10743204,"HH10743204","30-39","M"
10743301,"HH10743301","70-120","M"
10743302,"HH10743302","70-120","M"
10743304,"HH10743304","70-120","M"
10743305,"HH10743305","70-120","M"
10743306,"HH10743306","70-120","M"
10743307,"HH10743307","70-120","M"
10743308,"HH10743308","70-120","M"
10743401,"HH10743401","50-59","F"
10743402,"HH10743402","50-59","F"
10743404,"HH10743404","50-59","F"
10743405,"HH10743405","50-59","F"
10743501,"HH10743501","60-69","F"
10743502,"HH10743502","60-69","F"
10743504,"HH10743504","60-69","F"
10743505,"HH10743505","60-69","F"
10743506,"HH10743506","60-69","F"
10743507,"HH10743507","60-69","F"
10743508,"HH10743508","60-69","F"
10743601,"HH10743601","50-59","F"
10743602,"HH10743602","50-59","F"
10743604,"HH10743604","50-59","F"
10743605,"HH10743605","50-59","F"
10743606,"HH10743606","50-59","F"
10743607,"HH10743607","50-59","F"
10743608,"HH10743608","50-59","F"
10743701,"HH10743701","50-59","F"
10743801,"HH10743801","60-69","F"
10743802,"HH10743802","60-69","F"
10743804,"HH10743804","60-69","F"
10743805,"HH10743805","60-69","F"
10743806,"HH10743806","60-69","F"
10743807,"HH10743807","60-69","F"
10743808,"HH10743808","60-69","F"
10743901,"HH10743901","70-120","F"
10743902,"HH10743902","70-120","F"
10743904,"HH10743904","70-120","F"
10743905,"HH10743905","70-120","F"
10743906,"HH10743906","70-120","F"
10743907,"HH10743907","70-120","F"
10743908,"HH10743908","70-120","F"
10744001,"HH10744001","60-69","F"
10744002,"HH10744002","60-69","F"
10744005,"HH10744005","60-69","F"
10744006,"HH10744006","60-69","F"
10744007,"HH10744007","60-69","F"
10744008,"HH10744008","60-69","F"
10744101,"HH10744101","50-59","M"
10744102,"HH10744102","40-49","M"
10744201,"HH10744201","60-69","M"
10744301,"HH10744301","60-69","F"
10744302,"HH10744302","60-69","F"
10744304,"HH10744304","60-69","F"
10744307,"HH10744307","60-69","F"
10744401,"HH10744401","60-69","M"
10744402,"HH10744402","60-69","M"
10744404,"HH10744404","60-69","M"
10744406,"HH10744406","60-69","M"
10744408,"HH10744408","60-69","M"
10744501,"HH10744501","30-39","M"
10744502,"HH10744502","30-39","M"
10744504,"HH10744504","30-39","M"
10744505,"HH10744505","30-39","M"
10744506,"HH10744506","30-39","M"
10744601,"HH10744601","60-69","M"
10744602,"HH10744602","60-69","M"
10744604,"HH10744604","60-69","M"
10744605,"HH10744605","60-69","M"
10744606,"HH10744606","60-69","M"
10744607,"HH10744607","60-69","M"
10744608,"HH10744608","60-69","M"
10744701,"HH10744701","70-120","M"
10744705,"HH10744705","70-120","M"
10744801,"HH10744801","70-120","F"
10744802,"HH10744802","70-120","F"
10744804,"HH10744804","70-120","F"
10744805,"HH10744805","70-120","F"
10744806,"HH10744806","70-120","F"
10744807,"HH10744807","70-120","F"
10744808,"HH10744808","70-120","F"
10744901,"HH10744901","60-69","F"
10744908,"HH10744908","70-120","F"
10745001,"HH10745001","70-120","F"
10745002,"HH10745002","70-120","F"
10745004,"HH10745004","70-120","F"
10745005,"HH10745005","70-120","F"
10745006,"HH10745006","70-120","F"
10745007,"HH10745007","70-120","F"
10745008,"HH10745008","70-120","F"
10745101,"HH10745101","60-69","F"
10745102,"HH10745102","60-69","F"
10745104,"HH10745104","60-69","F"
10745201,"HH10745201","60-69","M"
10745202,"HH10745202","60-69","M"
10745204,"HH10745204","60-69","M"
10745207,"HH10745207","60-69","M"
10745301,"HH10745301","30-39","M"
10745302,"HH10745302","30-39","M"
10745304,"HH10745304","30-39","M"
10745306,"HH10745306","30-39","M"
10745401,"HH10745401","70-120","F"
10745402,"HH10745402","70-120","F"
10745404,"HH10745404","70-120","F"
10745405,"HH10745405","70-120","F"
10745406,"HH10745406","70-120","F"
10745501,"HH10745501","60-69","F"
10745502,"HH10745502","60-69","F"
10745504,"HH10745504","60-69","F"
10745505,"HH10745505","60-69","F"
10745506,"HH10745506","60-69","F"
10745508,"HH10745508","60-69","F"
10745601,"HH10745601","50-59","F"
10745602,"HH10745602","50-59","F"
10745604,"HH10745604","50-59","F"
10745605,"HH10745605","50-59","F"
10745607,"HH10745607","50-59","F"
10745608,"HH10745608","50-59","F"
10745701,"HH10745701","18-29","F"
10745705,"HH10745705","18-29","F"
10745706,"HH10745706","18-29","F"
10745801,"HH10745801","50-59","M"
10745802,"HH10745802","50-59","M"
10745804,"HH10745804","50-59","M"
10745805,"HH10745805","50-59","M"
10745806,"HH10745806","50-59","M"
10745807,"HH10745807","50-59","M"
10745808,"HH10745808","50-59","M"
10745901,"HH10745901","50-59","M"
10745902,"HH10745902","50-59","M"
10745904,"HH10745904","50-59","M"
10745905,"HH10745905","50-59","M"
10745907,"HH10745907","50-59","M"
10746001,"HH10746001","70-120","M"
10746002,"HH10746002","70-120","M"
10746004,"HH10746004","70-120","M"
10746005,"HH10746005","70-120","M"
10746101,"HH10746101","60-69","F"
10746102,"HH10746102","60-69","F"
10746104,"HH10746104","60-69","F"
10746105,"HH10746105","60-69","F"
10746106,"HH10746106","60-69","F"
10746107,"HH10746107","60-69","F"
10746201,"HH10746201","60-69","M"
10746202,"HH10746202","60-69","F"
10746204,"HH10746204","60-69","F"
10746205,"HH10746205","60-69","F"
10746206,"HH10746206","60-69","F"
10746301,"HH10746301","40-49","F"
10746302,"HH10746302","40-49","F"
10746304,"HH10746304","40-49","F"
10746401,"HH10746401","18-29","F"
10746404,"HH10746404","18-29","F"
10746501,"HH10746501","40-49","F"
10746502,"HH10746502","40-49","F"
10746504,"HH10746504","40-49","F"
