cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
100001001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100001002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100001003,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
100001004,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
100001005,NA,NA,NA,NA,NA,NA,NA
100001006,NA,NA,NA,NA,NA,NA,NA
100001007,NA,NA,NA,NA,NA,NA,NA
100004001,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
100004002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004008,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100004009,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100004010,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004011,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004012,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004013,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004014,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004015,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004016,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004017,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004018,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004019,NA,NA,NA,NA,NA,NA,NA
100004020,NA,NA,NA,NA,NA,NA,NA
100004021,NA,NA,NA,NA,NA,NA,NA
100004022,NA,NA,NA,NA,NA,NA,NA
100004023,NA,NA,NA,NA,NA,NA,NA
100004024,NA,NA,NA,NA,NA,NA,NA
100004025,NA,NA,NA,NA,NA,NA,NA
100004026,NA,NA,NA,NA,NA,NA,NA
100004027,NA,NA,NA,NA,NA,NA,NA
100004028,NA,NA,NA,NA,NA,NA,NA
100005001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100005002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100005003,TRUE,FALSE,FALSE,FALSE,FALSE,male,never met
100007001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100007002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100007003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100007004,FALSE,FALSE,FALSE,FALSE,FALSE,other,1-2 days
100007005,FALSE,FALSE,FALSE,FALSE,FALSE,other,1-2 days
100008001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1 month
100008002,FALSE,FALSE,FALSE,FALSE,TRUE,female,occasional
100009001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100010001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100011001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100011002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100011003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100011004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100013001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100013002,FALSE,TRUE,FALSE,FALSE,FALSE,female,1 month
100014001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100015001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100016001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100016002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100016003,NA,NA,NA,NA,NA,NA,NA
100016004,NA,NA,NA,NA,NA,NA,NA
100016005,NA,NA,NA,NA,NA,NA,NA
100016006,NA,NA,NA,NA,NA,NA,NA
100016007,NA,NA,NA,NA,NA,NA,NA
100016008,NA,NA,NA,NA,NA,NA,NA
100016009,NA,NA,NA,NA,NA,NA,NA
100016010,NA,NA,NA,NA,NA,NA,NA
100016011,NA,NA,NA,NA,NA,NA,NA
100016012,NA,NA,NA,NA,NA,NA,NA
100016013,NA,NA,NA,NA,NA,NA,NA
100016014,NA,NA,NA,NA,NA,NA,NA
100016015,NA,NA,NA,NA,NA,NA,NA
100016016,NA,NA,NA,NA,NA,NA,NA
100016017,NA,NA,NA,NA,NA,NA,NA
100016018,NA,NA,NA,NA,NA,NA,NA
100016019,NA,NA,NA,NA,NA,NA,NA
100016020,NA,NA,NA,NA,NA,NA,NA
100016021,NA,NA,NA,NA,NA,NA,NA
100016022,NA,NA,NA,NA,NA,NA,NA
100016023,NA,NA,NA,NA,NA,NA,NA
100016024,NA,NA,NA,NA,NA,NA,NA
100016025,NA,NA,NA,NA,NA,NA,NA
100016026,NA,NA,NA,NA,NA,NA,NA
100016027,NA,NA,NA,NA,NA,NA,NA
100016028,NA,NA,NA,NA,NA,NA,NA
100016029,NA,NA,NA,NA,NA,NA,NA
100016030,NA,NA,NA,NA,NA,NA,NA
100016031,NA,NA,NA,NA,NA,NA,NA
100016032,NA,NA,NA,NA,NA,NA,NA
100016033,NA,NA,NA,NA,NA,NA,NA
100016034,NA,NA,NA,NA,NA,NA,NA
100016035,NA,NA,NA,NA,NA,NA,NA
100016036,NA,NA,NA,NA,NA,NA,NA
100016037,NA,NA,NA,NA,NA,NA,NA
100016038,NA,NA,NA,NA,NA,NA,NA
100016039,NA,NA,NA,NA,NA,NA,NA
100016040,NA,NA,NA,NA,NA,NA,NA
100016041,NA,NA,NA,NA,NA,NA,NA
100016042,NA,NA,NA,NA,NA,NA,NA
100016043,NA,NA,NA,NA,NA,NA,NA
100016044,NA,NA,NA,NA,NA,NA,NA
100016045,NA,NA,NA,NA,NA,NA,NA
100016046,NA,NA,NA,NA,NA,NA,NA
100016047,NA,NA,NA,NA,NA,NA,NA
100016048,NA,NA,NA,NA,NA,NA,NA
100016049,NA,NA,NA,NA,NA,NA,NA
100016050,NA,NA,NA,NA,NA,NA,NA
100016051,NA,NA,NA,NA,NA,NA,NA
100016052,NA,NA,NA,NA,NA,NA,NA
100016053,NA,NA,NA,NA,NA,NA,NA
100016054,NA,NA,NA,NA,NA,NA,NA
100016055,NA,NA,NA,NA,NA,NA,NA
100017001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100017002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100017003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100017004,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
100018001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100018002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100019001,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
100019002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100019003,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
100020001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
