hh_id,country,hh_size
HH10000101,sk,1
HH10000102,sk,1
HH10000104,sk,1
HH10000106,sk,1
HH10000107,sk,1
HH10000108,sk,1
HH10000201,sk,1
HH10000202,sk,1
HH10000204,sk,1
HH10000205,sk,1
HH10000206,sk,1
HH10000207,sk,1
HH10000208,sk,1
HH10000301,sk,1
HH10000302,sk,1
HH10000304,sk,1
HH10000305,sk,2
HH10000306,sk,2
HH10000307,sk,2
HH10000308,sk,2
HH10000401,sk,1
HH10000402,sk,1
HH10000404,sk,1
HH10000405,sk,1
HH10000406,sk,1
HH10000407,sk,1
HH10000408,sk,1
HH10000501,sk,2
HH10000502,sk,2
HH10000504,sk,2
HH10000505,sk,2
HH10000506,sk,2
HH10000507,sk,2
HH10000508,sk,2
HH10000601,sk,1
HH10000602,sk,1
HH10000604,sk,1
HH10000606,sk,1
HH10000608,sk,1
HH10000701,sk,6
HH10000702,sk,4
HH10000704,sk,6
HH10000705,sk,6
HH10000801,sk,1
HH10000802,sk,1
HH10000804,sk,1
HH10000805,sk,1
HH10000806,sk,1
HH10000807,sk,1
HH10000808,sk,1
HH10000901,sk,2
HH10000902,sk,2
HH10000904,sk,2
HH10000905,sk,2
HH10000907,sk,2
HH10001001,sk,4
HH10001004,sk,1
HH10001101,sk,2
HH10001102,sk,2
HH10001104,sk,2
HH10001105,sk,2
HH10001201,sk,3
HH10001204,sk,3
HH10001207,sk,3
HH10001301,sk,1
HH10001302,sk,1
HH10001304,sk,1
HH10001305,sk,1
HH10001306,sk,1
HH10001307,sk,1
HH10001401,sk,2
HH10001402,sk,2
HH10001404,sk,2
HH10001405,sk,2
HH10001406,sk,2
HH10001407,sk,2
HH10001501,sk,2
HH10001502,sk,2
HH10001507,sk,2
HH10001508,sk,2
HH10001601,sk,3
HH10001604,sk,3
HH10001605,sk,3
HH10001607,sk,3
HH10001701,sk,3
HH10001702,sk,3
HH10001704,sk,3
HH10001705,sk,3
HH10001707,sk,3
HH10001708,sk,3
HH10001801,sk,3
HH10001802,sk,3
HH10001804,sk,3
HH10001806,sk,3
HH10001807,sk,3
HH10001808,sk,3
HH10001901,sk,2
HH10001902,sk,2
HH10001904,sk,2
HH10001905,sk,2
HH10001906,sk,2
HH10001907,sk,2
HH10002001,sk,2
HH10002101,sk,4
HH10002102,sk,4
HH10002106,sk,4
HH10002201,sk,4
HH10002202,sk,4
HH10002204,sk,4
HH10002205,sk,4
HH10002206,sk,4
HH10002207,sk,4
HH10002208,sk,4
HH10002301,sk,1
HH10002304,sk,1
HH10002307,sk,1
HH10002401,sk,3
HH10002402,sk,3
HH10002404,sk,3
HH10002405,sk,3
HH10002406,sk,3
HH10002408,sk,3
HH10002501,sk,1
HH10002504,sk,1
HH10002505,sk,1
HH10002508,sk,1
HH10002601,sk,1
HH10002604,sk,1
HH10002607,sk,1
HH10002701,sk,2
HH10002801,sk,3
HH10002802,sk,3
HH10002804,sk,3
HH10002805,sk,3
HH10002806,sk,3
HH10002807,sk,3
HH10002901,sk,5
HH10002904,sk,5
HH10002905,sk,5
HH10003001,sk,2
HH10003002,sk,2
HH10003004,sk,2
HH10003101,sk,2
HH10003104,sk,2
HH10003107,sk,2
