"part_id","hh_id","part_age","part_gender"
10000101,"HH10000101","50-59","M"
10000102,"HH10000102","50-59","M"
10000104,"HH10000104","50-59","M"
10000106,"HH10000106","50-59","M"
10000107,"HH10000107","50-59","M"
10000108,"HH10000108","50-59","M"
10000201,"HH10000201","60-69","F"
10000202,"HH10000202","60-69","F"
10000204,"HH10000204","60-69","F"
10000205,"HH10000205","60-69","F"
10000206,"HH10000206","60-69","F"
10000207,"HH10000207","60-69","F"
10000208,"HH10000208","60-69","F"
10000301,"HH10000301","50-59","M"
10000302,"HH10000302","50-59","M"
10000304,"HH10000304","50-59","M"
10000305,"HH10000305","50-59","M"
10000306,"HH10000306","50-59","M"
10000307,"HH10000307","50-59","M"
10000308,"HH10000308","50-59","M"
10000401,"HH10000401","40-49","F"
10000402,"HH10000402","40-49","F"
10000404,"HH10000404","40-49","F"
10000405,"HH10000405","40-49","F"
10000406,"HH10000406","40-49","F"
10000407,"HH10000407","40-49","F"
10000408,"HH10000408","40-49","F"
10000501,"HH10000501","60-69","F"
10000502,"HH10000502","60-69","F"
10000504,"HH10000504","60-69","F"
10000505,"HH10000505","60-69","F"
10000506,"HH10000506","60-69","F"
10000507,"HH10000507","60-69","F"
10000508,"HH10000508","60-69","F"
10000601,"HH10000601","60-69","M"
10000602,"HH10000602","60-69","M"
10000604,"HH10000604","60-69","M"
10000606,"HH10000606","60-69","M"
10000608,"HH10000608","60-69","M"
10000701,"HH10000701","18-29","M"
10000702,"HH10000702","18-29","M"
10000704,"HH10000704","18-29","M"
10000705,"HH10000705","18-29","M"
10000801,"HH10000801","60-69","F"
10000802,"HH10000802","60-69","F"
10000804,"HH10000804","60-69","F"
10000805,"HH10000805","60-69","F"
10000806,"HH10000806","60-69","F"
10000807,"HH10000807","60-69","F"
10000808,"HH10000808","60-69","F"
10000901,"HH10000901","60-69","F"
10000902,"HH10000902","60-69","F"
10000904,"HH10000904","60-69","F"
10000905,"HH10000905","60-69","F"
10000907,"HH10000907","70-120","F"
10001001,"HH10001001","50-59","M"
10001004,"HH10001004","50-59","M"
10001101,"HH10001101","18-29","F"
10001102,"HH10001102","18-29","F"
10001104,"HH10001104","18-29","F"
10001105,"HH10001105","18-29","F"
10001201,"HH10001201","18-29","F"
10001204,"HH10001204","18-29","F"
10001207,"HH10001207","18-29","F"
10001301,"HH10001301","40-49","F"
10001302,"HH10001302","40-49","F"
10001304,"HH10001304","40-49","F"
10001305,"HH10001305","40-49","F"
10001306,"HH10001306","40-49","F"
10001307,"HH10001307","40-49","F"
10001401,"HH10001401","60-69","F"
10001402,"HH10001402","60-69","F"
10001404,"HH10001404","60-69","F"
10001405,"HH10001405","60-69","F"
10001406,"HH10001406","60-69","F"
10001407,"HH10001407","60-69","F"
10001501,"HH10001501","60-69","F"
10001502,"HH10001502","60-69","F"
10001507,"HH10001507","60-69","F"
10001508,"HH10001508","60-69","F"
10001601,"HH10001601","30-39","F"
10001604,"HH10001604","30-39","F"
10001605,"HH10001605","30-39","F"
10001607,"HH10001607","30-39","F"
10001701,"HH10001701","30-39","F"
10001702,"HH10001702","30-39","F"
10001704,"HH10001704","30-39","F"
10001705,"HH10001705","30-39","F"
10001707,"HH10001707","30-39","F"
10001708,"HH10001708","30-39","F"
10001801,"HH10001801","40-49","M"
10001802,"HH10001802","40-49","M"
10001804,"HH10001804","40-49","M"
10001806,"HH10001806","40-49","M"
10001807,"HH10001807","40-49","M"
10001808,"HH10001808","40-49","M"
10001901,"HH10001901","60-69","F"
10001902,"HH10001902","60-69","F"
10001904,"HH10001904","60-69","F"
10001905,"HH10001905","60-69","F"
10001906,"HH10001906","60-69","F"
10001907,"HH10001907","60-69","F"
10002001,"HH10002001","18-29","F"
10002101,"HH10002101","18-29","F"
10002102,"HH10002102","18-29","F"
10002106,"HH10002106","18-29","F"
10002201,"HH10002201","30-39","M"
10002202,"HH10002202","30-39","M"
10002204,"HH10002204","30-39","M"
10002205,"HH10002205","30-39","M"
10002206,"HH10002206","30-39","M"
10002207,"HH10002207","30-39","M"
10002208,"HH10002208","30-39","M"
10002301,"HH10002301","70-120","F"
10002304,"HH10002304","70-120","F"
10002307,"HH10002307","70-120","F"
10002401,"HH10002401","50-59","F"
10002402,"HH10002402","50-59","F"
10002404,"HH10002404","50-59","F"
10002405,"HH10002405","50-59","F"
10002406,"HH10002406","50-59","F"
10002408,"HH10002408","50-59","F"
10002501,"HH10002501","40-49","M"
10002504,"HH10002504","40-49","M"
10002505,"HH10002505","40-49","M"
10002508,"HH10002508","40-49","M"
10002601,"HH10002601","18-29","M"
10002604,"HH10002604","18-29","M"
10002607,"HH10002607","18-29","M"
10002701,"HH10002701","18-29","F"
10002801,"HH10002801","70-120","F"
10002802,"HH10002802","70-120","F"
10002804,"HH10002804","70-120","F"
10002805,"HH10002805","70-120","F"
10002806,"HH10002806","70-120","F"
10002807,"HH10002807","70-120","F"
10002901,"HH10002901","40-49","F"
