"part_id","Building_id","Q02_TYP","Q03_TIM","Q04_ADU","Q05_CHILD","Q06_COM","Q07_VIS"
30001,"2171_2",8,1,0,0,1,0
30004,"72_2",3,3,2,0,1,0
30004,"73_2",3,3,3,0,1,0
30008,"2172_2",1,2,2,2,1,1
30012,"146_2",2,4,3,3,0,0
30025,"10_2",2,4,3,3,0,0
30028,"1_2",2,5,3,0,10,NA
30029,"110_2",2,3,3,3,0,0
30030,"35_2",3,3,3,10,0,1
30030,"36_2",6,2,0,0,0,0
30031,"20_2",8,3,2,1,1,0
30032,"49_2",4,4,3,0,1,0
30032,"50_2",1,0,0,0,0,0
30033,"38_2",0,2,0,0,0,0
30034,"39_2",2,2,0,0,0,0
30034,"40_2",6,2,0,0,0,0
30034,"41_2",8,2,1,1,1,1
30035,"27_2",2,2,2,0,1,0
30035,"28_2",1,3,1,2,1,0
30036,"47_2",1,2,0,0,0,1
30036,"48_2",8,3,0,0,0,1
30037,"43_2",2,3,3,3,0,0
30039,"29_2",7,4,0,10,1,0
30040,"84_2",2,2,2,2,1,0
30040,"85_2",8,3,3,1,1,0
30042,"58_2",2,3,3,3,1,0
30043,"25_2",1,2,1,0,1,0
30043,"26_2",0,1,0,0,0,0
30044,"69_2",8,2,1,0,1,0
30044,"70_2",1,1,2,0,1,0
30046,"63_2",2,3,3,1,1,0
30046,"64_2",6,3,0,0,1,1
30047,"113_2",2,3,3,1,1,1
30047,"114_2",6,3,3,0,0,0
30049,"109_2",0,3,1,0,0,0
30050,"57_2",2,3,3,3,1,0
30051,"55_2",2,3,2,2,1,NA
30051,"56_2",10,2,0,0,0,NA
30052,"2175_2",1,4,1,1,0,1
30053,"95_2",2,3,3,3,1,0
30054,"134_2",1,3,3,3,0,0
30054,"135_2",8,3,2,1,0,0
30056,"12_2",2,4,3,3,1,0
30057,"102_2",7,5,2,10,1,0
30058,"133_2",2,3,2,0,0,0
30061,"6_2",7,4,0,10,1,0
30062,"151_2",8,3,0,0,0,1
30063,"100_2",2,3,3,3,1,0
30067,"101_2",2,3,3,3,1,0
30069,"14_2",7,4,2,0,1,1
30069,"15_2",8,3,1,0,1,1
30071,"98_2",2,3,3,3,1,0
30073,"13_2",7,4,3,3,1,1
30074,"32_2",1,3,1,0,1,0
30077,"5_2",7,4,1,10,1,0
30078,"2184_2",2,3,2,0,1,0
30080,"118_2",4,4,3,2,1,0
30081,"4_2",7,4,0,1,0,NA
30082,"105_2",8,3,2,0,1,0
30086,"96_2",1,2,2,0,0,0
30087,"60_2",0,1,0,0,0,0
30087,"61_2",1,3,1,0,1,0
30088,"2182_2",1,4,3,1,0,1
30088,"2183_2",8,1,1,0,0,1
30089,"16_2",5,3,3,0,0,0
30091,"44_2",2,3,3,3,1,0
30093,"7_2",0,1,0,0,0,1
30093,"8_2",8,3,3,0,1,0
30095,"65_2",1,1,1,0,0,NA
30095,"66_2",2,3,3,10,1,NA
30096,"68_2",7,5,1,0,1,1
30100,"87_2",3,3,3,0,0,1
30100,"88_2",8,1,0,0,0,1
30103,"62_2",0,2,3,10,0,0
30104,"112_2",8,4,1,0,1,0
30106,"2_2",0,2,0,0,0,0
30106,"3_2",1,0,3,0,0,1
30107,"59_2",0,2,1,0,0,0
30109,"111_2",2,3,3,0,0,0
30113,"86_2",0,3,1,0,0,1
30116,"97_2",2,3,2,10,1,0
30118,"24_2",0,3,1,0,1,0
30120,"51_2",1,2,2,2,1,NA
30121,"2180_2",1,0,0,10,0,1
30122,"23_2",2,3,2,0,0,0
30123,"2178_2",4,3,3,0,0,1
30123,"2179_2",1,3,3,3,1,0
30129,"89_2",2,3,3,10,0,0
30129,"90_2",1,1,1,1,0,1
30131,"71_2",8,3,2,1,0,1
30132,"147_2",0,2,0,0,0,1
30132,"148_2",0,2,0,0,0,1
30132,"149_2",1,0,1,0,0,1
30132,"150_2",2,3,3,3,10,1
30133,"2166_2",2,3,3,3,0,1
30133,"2167_2",8,1,1,10,0,0
30134,"120_2",3,3,3,0,0,1
30135,"9_2",2,3,3,3,0,0
30136,"2168_2",2,3,3,3,0,1
30136,"2169_2",8,1,10,1,0,1
30137,"2170_2",1,2,3,2,10,1
30139,"11_2",2,3,3,3,0,0
30140,"91_2",2,3,3,3,10,1
30140,"92_2",3,3,3,1,10,1
30140,"93_2",8,1,0,10,1,0
30143,"45_2",2,3,3,3,10,1
30145,"99_2",2,3,3,3,0,0
30148,"2173_2",2,3,2,10,0,1
30148,"2174_2",1,3,2,10,0,1
30153,"74_2",7,3,0,0,0,0
30153,"75_2",8,2,2,0,1,0
30153,"76_2",8,2,0,0,1,0
30153,"77_2",8,2,0,0,1,0
30156,"67_2",3,3,2,0,0,1
30164,"119_2",3,3,2,10,0,1
30168,"30_2",8,3,3,1,1,0
30172,"34_2",2,4,2,10,1,0
30173,"17_2",8,1,2,0,1,0
30173,"18_2",1,1,3,3,1,0
30173,"19_2",8,1,1,0,1,0
30176,"33_2",4,3,0,10,1,0
30179,"94_2",0,3,0,0,0,0
30180,"52_2",2,3,3,0,0,1
30180,"53_2",8,3,3,0,1,0
30183,"107_2",1,0,0,0,0,0
30187,"103_2",7,4,2,10,1,0
30188,"54_2",8,4,3,2,0,0
30189,"2176_2",2,3,3,2,0,1
30189,"2177_2",1,2,2,2,0,1
30191,"108_2",7,4,0,10,1,0
30193,"46_2",8,5,0,0,0,1
30195,"78_2",1,2,0,10,1,0
30196,"106_2",1,3,1,2,1,0
30197,"21_2",2,3,3,3,10,1
30197,"22_2",1,2,2,2,10,1
30199,"31_2",7,4,1,10,1,0
30200,"104_2",2,3,3,3,1,0
40001,"159_2",0,0,0,1,0,0
40003,"237_2",7,3,2,10,1,1
40003,"238_2",1,2,3,10,1,0
40004,"189_2",5,2,1,0,1,0
40004,"190_2",1,1,3,2,0,0
40005,"166_2",8,3,2,0,1,0
40008,"170_2",1,1,0,0,0,0
40011,"173_2",7,4,0,10,1,1
40011,"174_2",1,2,0,10,1,0
40011,"182_2",7,1,0,10,1,1
40011,"494_2",6,2,1,10,0,1
40012,"216_2",2,3,3,2,0,0
40013,"160_2",2,3,3,3,1,0
40016,"240_2",8,3,1,0,1,0
40023,"208_2",1,1,1,0,1,0
40023,"209_2",8,2,0,0,1,0
40024,"140_2",10,3,3,3,0,NA
40028,"142_2",1,0,0,0,0,0
40028,"144_2",1,0,0,0,0,0
40031,"186_2",7,6,3,0,1,1
40031,"188_2",3,2,2,10,0,1
40032,"141_2",0,3,1,0,0,0
40032,"1011_2",0,4,0,0,0,0
40034,"157_2",8,4,0,10,0,1
40035,"207_2",1,1,3,3,1,0
40036,"2206_2",1,2,1,1,1,1
40037,"156_2",1,2,0,0,0,0
40038,"232_2",7,2,2,0,1,1
40038,"233_2",1,2,0,0,1,1
40038,"234_2",7,2,10,0,1,1
40038,"235_2",7,2,2,0,1,0
40038,"236_2",0,3,0,0,0,1
40039,"205_2",7,6,1,0,1,1
40039,"206_2",3,3,3,0,1,0
40040,"498_2",0,10,10,10,10,NA
40043,"495_2",7,5,1,0,1,1
40043,"496_2",3,4,3,0,1,0
40043,"497_2",7,2,2,0,1,0
40044,"2207_2",1,1,2,2,0,1
40044,"2208_2",8,1,2,2,0,1
40047,"215_2",7,5,3,3,1,1
40048,"191_2",6,2,1,0,0,0
40048,"192_2",0,3,0,0,10,NA
40049,"245_2",8,0,0,0,1,0
40050,"2209_2",8,2,1,0,0,1
40051,"2210_2",8,10,3,3,0,1
40052,"2211_2",3,3,3,1,1,0
40053,"167_2",4,2,3,10,0,0
40055,"2212_2",2,3,3,1,0,1
40059,"2213_2",8,6,1,10,0,1
40060,"184_2",4,4,3,0,1,1
40060,"185_2",1,0,0,0,0,0
40062,"164_2",2,3,3,3,1,0
40062,"165_2",0,3,0,1,0,0
40063,"2214_2",8,5,2,10,10,1
40064,"239_2",4,3,3,3,0,0
40067,"2181_2",1,2,3,10,0,1
40068,"241_2",1,1,3,3,1,0
40068,"242_2",1,4,1,1,1,0
40068,"243_2",1,0,0,0,0,0
40068,"244_2",8,0,1,0,0,0
40070,"218_2",4,4,3,0,1,0
40071,"2185_2",1,3,10,1,10,1
40074,"201_2",8,2,0,0,1,0
40074,"202_2",1,2,2,0,1,0
40074,"203_2",1,2,3,2,1,0
40074,"204_2",1,2,3,3,1,0
40075,"220_2",4,3,10,3,0,1
40076,"2186_2",8,1,2,0,0,0
40077,"136_2",8,1,3,3,0,0
40079,"489_2",3,3,3,1,0,1
40079,"490_2",6,4,2,1,0,1
40081,"172_2",7,3,2,2,0,0
40083,"168_2",6,1,0,0,0,0
40083,"169_2",0,2,0,0,0,0
40084,"139_2",8,3,1,0,0,NA
40087,"210_2",4,3,3,10,1,0
40087,"211_2",3,2,1,0,0,0
40088,"2187_2",0,3,1,10,0,1
40092,"2190_2",7,3,2,3,0,1
40093,"250_2",2,3,3,3,10,1
40096,"2191_2",4,3,1,3,0,1
40096,"2192_2",0,1,2,10,0,0
40104,"227_2",8,0,0,10,0,1
40117,"228_2",0,4,0,0,1,1
40117,"229_2",3,3,3,0,0,0
40121,"79_2",1,1,0,1,0,1
40121,"80_2",1,2,1,0,0,1
40121,"81_2",1,10,10,10,10,NA
40121,"82_2",1,1,10,10,10,NA
40121,"83_2",1,10,10,10,10,NA
40125,"491_2",1,10,10,10,10,NA
40125,"492_2",1,10,10,10,10,NA
40125,"493_2",3,10,10,10,10,NA
40129,"222_2",8,2,3,0,1,0
40129,"223_2",1,1,2,0,1,0
40129,"224_2",1,2,1,0,1,0
40131,"2195_2",0,1,0,0,0,1
40135,"247_2",2,3,3,3,0,1
40135,"248_2",1,2,3,2,10,0
40135,"249_2",0,1,3,0,1,0
40141,"171_2",1,0,0,10,0,0
40142,"225_2",0,2,0,0,0,0
40142,"226_2",0,0,0,0,0,0
40143,"1012_2",8,4,2,0,1,NA
40144,"212_2",1,3,3,1,1,1
40144,"213_2",3,5,3,0,0,1
40146,"161_2",0,2,0,0,0,0
40146,"162_2",0,1,0,0,0,0
40146,"163_2",8,1,0,0,0,0
40147,"158_2",3,3,3,0,0,0
40148,"252_2",3,3,2,0,0,1
40150,"221_2",4,3,2,10,1,0
40151,"152_2",8,1,0,0,1,0
40151,"153_2",1,1,3,2,1,0
40151,"154_2",3,3,3,10,1,0
