cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
3000101,30001,NA,26,45,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,2
3000102,30001,NA,46,100,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3000103,30001,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3000104,30001,NA,5,12,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3000105,30001,NA,5,12,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3000401,30004,NA,13,25,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3000402,30004,NA,13,25,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3000403,30004,NA,26,45,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3000801,30008,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
3000802,30008,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
3000803,30008,NA,26,45,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,NA,5
3001201,30012,NA,26,45,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,4
3001202,30012,NA,13,25,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,3
3001203,30012,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3001204,30012,NA,5,12,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3001205,30012,NA,0,4,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3001206,30012,NA,0,4,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002401,30024,NA,26,45,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,4
3002402,30024,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,4
3002403,30024,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,4
3002404,30024,NA,26,45,F,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,NA,4
3002405,30024,NA,26,45,F,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,NA,3
3002406,30024,NA,46,100,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,4
3002407,30024,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,4
3002408,30024,NA,13,25,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002409,30024,NA,13,25,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002410,30024,NA,13,25,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002501,30025,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,3
3002502,30025,NA,26,45,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,3
3002503,30025,NA,13,25,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,3
3002504,30025,NA,13,25,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,2
3002505,30025,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002506,30025,NA,5,12,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002507,30025,NA,0,4,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002801,30028,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
3002802,30028,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
3002901,30029,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002902,30029,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3002903,30029,NA,0,4,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3002904,30029,NA,0,4,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003001,30030,NA,26,45,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003002,30030,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,NA,NA
3003101,30031,NA,46,100,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,NA,2
3003102,30031,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003103,30031,NA,26,45,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003104,30031,NA,13,25,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003105,30031,NA,5,12,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003106,30031,NA,5,12,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003107,30031,NA,5,12,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003108,30031,NA,26,45,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,5
3003109,30031,NA,13,25,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,3
3003110,30031,NA,0,4,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,4
3003201,30032,NA,13,25,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,NA,3
