"cont_id","Q04_BEL","Q05_WHERE","Q07_INOUT"
3000101,NA,0,0
3000102,0,2,0
3000103,0,2,0
3000104,0,2,0
3000105,0,2,0
3000401,0,2,0
3000402,2,0,1
3000403,2,0,1
3000801,NA,11,10
3000802,NA,11,10
3000803,2,10,1
3001201,2,2,0
3001202,2,2,0
3001203,0,2,0
3001204,0,2,0
3001205,0,2,0
3001206,0,2,0
3002401,2,2,0
3002402,2,2,0
3002403,2,2,0
3002404,2,3,0
3002405,2,3,0
3002406,2,2,0
3002407,2,2,0
3002408,0,2,0
3002409,0,2,0
3002410,0,2,0
3002501,NA,2,0
3002502,NA,2,0
3002503,NA,2,0
3002504,NA,0,0
3002505,NA,2,0
3002506,NA,2,0
3002507,NA,2,0
3002801,NA,10,10
3002802,NA,10,10
3002901,0,2,0
3002902,0,2,0
3002903,0,2,0
3002904,0,2,0
3003001,0,2,0
3003002,1,6,10
3003101,2,10,1
3003102,NA,2,0
3003103,NA,2,0
3003104,NA,2,0
3003105,NA,2,0
3003106,NA,2,0
3003107,NA,2,0
3003108,NA,2,0
3003109,NA,2,0
3003110,NA,2,0
3003201,2,7,1
3003202,2,2,0
3003203,2,1,0
3003204,2,7,0
3003205,2,3,0
3003206,2,2,0
3003207,2,0,0
3003208,0,2,0
3003209,0,2,0
3003210,0,2,0
3003211,0,2,0
3003212,0,2,0
3003301,2,0,0
3003302,2,0,0
3003303,2,0,0
3003304,2,0,0
3003305,2,3,0
3003306,0,2,0
3003401,0,2,0
3003402,2,5,1
3003403,NA,11,10
3003404,2,9,0
3003501,0,2,10
3003502,0,2,10
3003503,0,2,10
3003504,0,2,10
3003505,2,0,1
3003506,2,0,1
3003601,0,2,0
3003602,NA,2,0
3003603,2,3,10
3003604,NA,3,0
3003605,2,3,0
3003606,NA,3,0
3003607,NA,3,0
3003608,NA,3,0
3003701,2,5,0
3003702,0,2,0
3003703,0,2,0
3003704,0,2,0
3003705,0,2,0
3003706,0,2,0
3003801,0,2,0
3003901,0,2,0
3003902,0,2,0
3003903,1,10,1
3003904,1,10,1
3003905,1,10,1
3004001,0,11,10
3004002,0,11,10
3004003,2,1,10
3004004,2,11,0
3004005,2,1,0
3004006,2,1,0
3004101,2,0,0
3004102,2,0,0
3004103,0,2,0
3004104,NA,0,0
3004105,0,2,0
3004106,0,2,0
3004107,0,2,0
3004201,0,2,0
3004202,2,11,1
3004203,2,10,1
3004301,0,2,0
3004302,0,2,0
3004303,0,2,0
3004304,2,3,0
3004305,2,3,0
3004401,2,0,0
3004402,2,0,0
3004403,2,0,1
3004404,0,2,0
3004405,0,2,0
3004406,0,2,0
3004501,2,0,0
3004502,2,0,0
3004503,NA,0,0
3004504,2,5,0
3004505,2,5,0
3004506,2,5,0
3004507,0,2,0
3004508,0,2,0
3004509,0,2,0
3004510,0,2,0
3004511,0,2,0
3004512,0,2,0
3004601,NA,10,2
3004701,0,2,0
3004702,NA,11,10
3004801,2,0,0
3004802,2,2,0
3004803,0,2,0
3004804,0,2,0
3004805,2,0,0
3004806,2,3,0
3004807,2,0,0
3004808,2,0,0
3004809,1,3,0
3004901,NA,11,10
3004902,NA,11,10
3004903,NA,2,0
3004904,0,2,0
3004905,0,2,0
3004906,0,2,0
3005001,0,2,0
3005002,0,2,0
3005003,0,2,0
3005101,0,2,10
3005102,0,2,0
3005103,0,2,0
3005104,0,11,0
3005105,0,2,0
3005106,0,2,0
3005201,0,2,0
3005202,0,2,0
3005203,NA,2,0
3005204,NA,2,0
3005205,2,4,0
3005206,2,4,0
3005301,0,11,0
3005302,0,11,0
3005303,0,11,0
3005304,0,11,0
3005401,2,0,0
3005402,2,0,0
3005403,2,0,0
3005404,2,0,0
3005405,2,0,0
3005406,2,5,1
3005407,2,5,0
3005408,2,5,0
3005409,2,5,0
3005410,2,5,0
3005411,2,5,0
3005412,0,2,0
3005413,2,5,0
3005414,2,5,10
3005501,1,2,0
3005502,1,2,0
3005503,2,3,0
3005504,2,3,0
3005505,2,3,0
3005601,2,2,0
3005602,2,3,0
3005603,0,2,0
3005604,0,2,0
3005605,2,2,0
3005606,0,2,0
3005607,0,2,0
3005608,2,2,0
3005701,0,2,0
3005702,0,2,0
3005703,0,2,0
3005704,0,2,0
3005705,0,2,0
3005706,1,0,1
3005707,1,0,1
3005708,1,0,1
3005709,1,0,1
3005710,1,0,1
3005801,2,2,0
3005802,2,0,2
3005803,2,0,0
3005804,2,3,0
3005805,0,2,0
3005806,0,2,0
3005807,NA,2,0
3005808,0,2,0
3005809,0,2,0
3005810,2,5,2
3005811,2,0,0
3005812,2,0,1
3005813,2,5,0
3005814,2,0,0
3005901,0,3,0
3005902,0,3,0
3005903,0,3,0
3005904,0,3,0
3006101,0,2,0
3006102,2,2,0
3006103,2,2,0
3006201,2,2,0
3006202,0,2,0
3006203,0,2,0
3006204,0,2,0
3006301,0,2,0
3006302,0,2,0
3006303,0,2,0
3006304,0,2,0
3006305,2,3,1
3006306,2,3,1
3006307,2,3,1
3006601,0,2,0
3006602,2,0,0
3006603,2,0,0
3006604,2,0,0
3006605,2,0,0
