"hh_id","country","hh_size"
"HH30001","ZMB",5
"HH30004","ZMB",2
"HH30008","ZMB",4
"HH30012","ZMB",5
"HH30024","ZMB",4
"HH30025","ZMB",4
"HH30028","ZMB",5
"HH30029","ZMB",5
"HH30030","ZMB",2
"HH30031","ZMB",10
"HH30032","ZMB",8
"HH30033","ZMB",2
"HH30034","ZMB",2
"HH30035","ZMB",5
"HH30036","ZMB",5
"HH30037","ZMB",6
"HH30038","ZMB",5
"HH30039","ZMB",3
"HH30040","ZMB",3
"HH30041","ZMB",5
"HH30042","ZMB",2
"HH30043","ZMB",4
"HH30044","ZMB",8
"HH30045","ZMB",7
"HH30046","ZMB",5
"HH30047","ZMB",2
"HH30048","ZMB",5
"HH30049","ZMB",4
"HH30050","ZMB",4
"HH30051","ZMB",7
"HH30052","ZMB",7
"HH30053","ZMB",5
"HH30054","ZMB",2
"HH30055","ZMB",3
"HH30056","ZMB",5
"HH30057","ZMB",6
"HH30058","ZMB",6
"HH30059","ZMB",5
"HH30061","ZMB",2
"HH30062","ZMB",5
"HH30063","ZMB",5
"HH30066","ZMB",2
"HH30067","ZMB",4
"HH30069","ZMB",5
"HH30070","ZMB",9
"HH30071","ZMB",6
"HH30073","ZMB",5
"HH30074","ZMB",4
"HH30075","ZMB",3
"HH30076","ZMB",4
"HH30077","ZMB",4
"HH30078","ZMB",3
"HH30079","ZMB",4
"HH30080","ZMB",6
"HH30081","ZMB",1
"HH30082","ZMB",2
"HH30083","ZMB",3
"HH30084","ZMB",2
"HH30086","ZMB",4
"HH30087","ZMB",5
"HH30088","ZMB",6
"HH30089","ZMB",4
"HH30091","ZMB",2
"HH30092","ZMB",3
"HH30093","ZMB",6
"HH30095","ZMB",3
"HH30096","ZMB",3
"HH30097","ZMB",3
"HH30098","ZMB",6
"HH30099","ZMB",7
"HH30100","ZMB",6
"HH30101","ZMB",6
"HH30102","ZMB",5
"HH30103","ZMB",5
"HH30104","ZMB",4
"HH30105","ZMB",3
"HH30106","ZMB",2
"HH30107","ZMB",5
"HH30108","ZMB",9
"HH30109","ZMB",8
"HH30110","ZMB",5
"HH30111","ZMB",2
"HH30112","ZMB",7
"HH30113","ZMB",6
"HH30114","ZMB",2
"HH30115","ZMB",4
"HH30116","ZMB",3
"HH30117","ZMB",3
"HH30118","ZMB",5
"HH30119","ZMB",9
"HH30120","ZMB",2
"HH30121","ZMB",4
"HH30122","ZMB",3
"HH30123","ZMB",4
"HH30124","ZMB",6
"HH30125","ZMB",4
"HH30126","ZMB",7
"HH30128","ZMB",3
"HH30129","ZMB",12
"HH30130","ZMB",6
"HH30131","ZMB",7
"HH30132","ZMB",4
"HH30133","ZMB",5
"HH30134","ZMB",4
"HH30135","ZMB",10
"HH30136","ZMB",4
"HH30137","ZMB",4
"HH30138","ZMB",5
"HH30139","ZMB",6
"HH30140","ZMB",4
"HH30141","ZMB",9
"HH30143","ZMB",5
"HH30144","ZMB",5
"HH30145","ZMB",6
"HH30147","ZMB",2
"HH30148","ZMB",3
"HH30152","ZMB",4
"HH30153","ZMB",2
"HH30156","ZMB",9
"HH30164","ZMB",6
"HH30168","ZMB",5
"HH30169","ZMB",8
"HH30172","ZMB",3
"HH30173","ZMB",2
"HH30176","ZMB",6
"HH30179","ZMB",9
"HH30180","ZMB",3
"HH30183","ZMB",3
"HH30184","ZMB",2
"HH30187","ZMB",1
"HH30188","ZMB",2
"HH30189","ZMB",9
"HH30191","ZMB",3
"HH30192","ZMB",6
"HH30193","ZMB",7
"HH30195","ZMB",1
"HH30196","ZMB",5
"HH30197","ZMB",5
"HH30199","ZMB",3
"HH30200","ZMB",5
"HH40001","ZMB",6
"HH40003","ZMB",4
"HH40004","ZMB",6
"HH40005","ZMB",9
"HH40008","ZMB",6
"HH40009","ZMB",12
"HH40011","ZMB",4
"HH40012","ZMB",5
"HH40013","ZMB",7
"HH40016","ZMB",7
"HH40019","ZMB",7
"HH40020","ZMB",5
"HH40022","ZMB",3
"HH40023","ZMB",7
"HH40024","ZMB",11
"HH40026","ZMB",6
"HH40028","ZMB",5
"HH40030","ZMB",2
"HH40031","ZMB",2
"HH40032","ZMB",10
"HH40034","ZMB",4
"HH40035","ZMB",7
"HH40036","ZMB",5
"HH40037","ZMB",3
"HH40038","ZMB",4
"HH40039","ZMB",5
"HH40040","ZMB",10
"HH40043","ZMB",8
"HH40044","ZMB",5
"HH40046","ZMB",4
"HH40047","ZMB",3
"HH40048","ZMB",9
"HH40049","ZMB",10
"HH40050","ZMB",10
"HH40051","ZMB",5
"HH40052","ZMB",7
"HH40053","ZMB",3
"HH40055","ZMB",4
"HH40056","ZMB",3
"HH40057","ZMB",3
"HH40059","ZMB",8
"HH40060","ZMB",5
"HH40061","ZMB",3
"HH40062","ZMB",8
"HH40063","ZMB",5
"HH40064","ZMB",3
"HH40065","ZMB",7
"HH40066","ZMB",6
"HH40067","ZMB",4
"HH40068","ZMB",1
"HH40069","ZMB",5
"HH40070","ZMB",6
"HH40071","ZMB",9
"HH40072","ZMB",4
"HH40073","ZMB",11
"HH40074","ZMB",7
"HH40075","ZMB",9
"HH40076","ZMB",2
"HH40077","ZMB",3
"HH40079","ZMB",11
"HH40080","ZMB",5
"HH40081","ZMB",6
"HH40083","ZMB",1
"HH40084","ZMB",5
"HH40085","ZMB",10
"HH40087","ZMB",5
"HH40088","ZMB",9
"HH40089","ZMB",9
"HH40091","ZMB",7
"HH40092","ZMB",9
"HH40093","ZMB",6
"HH40096","ZMB",5
"HH40097","ZMB",6
"HH40100","ZMB",10
"HH40104","ZMB",4
"HH40105","ZMB",6
"HH40108","ZMB",3
"HH40109","ZMB",6
"HH40112","ZMB",6
"HH40113","ZMB",6
"HH40116","ZMB",2
"HH40117","ZMB",5
"HH40120","ZMB",3
"HH40121","ZMB",3
"HH40124","ZMB",8
"HH40125","ZMB",6
"HH40128","ZMB",4
"HH40129","ZMB",3
"HH40130","ZMB",4
"HH40131","ZMB",5
"HH40132","ZMB",2
"HH40134","ZMB",7
"HH40135","ZMB",5
"HH40136","ZMB",3
"HH40138","ZMB",6
"HH40139","ZMB",6
"HH40140","ZMB",6
"HH40141","ZMB",2
"HH40142","ZMB",5
"HH40143","ZMB",6
"HH40144","ZMB",5
"HH40146","ZMB",9
"HH40147","ZMB",3
"HH40148","ZMB",1
"HH40150","ZMB",5
"HH40151","ZMB",2
"HH40152","ZMB",1
"HH40154","ZMB",8
"HH40155","ZMB",6
"HH40156","ZMB",6
"HH40158","ZMB",8
"HH40159","ZMB",4
"HH40160","ZMB",3
"HH40161","ZMB",5
"HH40162","ZMB",7
"HH40163","ZMB",5
"HH40164","ZMB",5
"HH40165","ZMB",5
"HH40166","ZMB",10
"HH40167","ZMB",6
"HH40168","ZMB",5
"HH40169","ZMB",4
"HH40170","ZMB",5
"HH40171","ZMB",4
"HH40172","ZMB",8
"HH40173","ZMB",5
"HH40174","ZMB",5
"HH40175","ZMB",6
"HH40176","ZMB",5
"HH40177","ZMB",3
"HH40178","ZMB",4
"HH40179","ZMB",6
"HH40180","ZMB",4
"HH40184","ZMB",3
"HH40185","ZMB",5
"HH40188","ZMB",3
"HH40189","ZMB",5
"HH40192","ZMB",9
"HH40193","ZMB",9
"HH40196","ZMB",5
"HH40197","ZMB",4
"HH40198","ZMB",9
"HH40200","ZMB",4
"HH50001","ZMB",1
"HH50002","ZMB",5
"HH50004","ZMB",6
"HH50005","ZMB",2
"HH50006","ZMB",5
"HH50007","ZMB",10
"HH50008","ZMB",6
"HH50009","ZMB",8
"HH50010","ZMB",3
"HH50012","ZMB",5
"HH50013","ZMB",5
"HH50014","ZMB",9
"HH50016","ZMB",1
"HH50017","ZMB",6
"HH50020","ZMB",3
"HH50021","ZMB",3
"HH50024","ZMB",7
"HH50025","ZMB",9
"HH50026","ZMB",4
"HH50027","ZMB",3
"HH50028","ZMB",10
"HH50029","ZMB",4
"HH50031","ZMB",7
"HH50033","ZMB",6
"HH50035","ZMB",1
"HH50039","ZMB",9
"HH50041","ZMB",8
"HH50043","ZMB",3
"HH50045","ZMB",1
"HH50049","ZMB",8
"HH50053","ZMB",13
"HH50057","ZMB",5
"HH50061","ZMB",9
"HH50066","ZMB",11
"HH50067","ZMB",7
"HH50070","ZMB",7
"HH50071","ZMB",6
"HH50073","ZMB",2
"HH50074","ZMB",4
"HH50075","ZMB",1
"HH50077","ZMB",7
"HH50078","ZMB",6
"HH50079","ZMB",6
"HH50081","ZMB",11
"HH50082","ZMB",6
"HH50083","ZMB",2
"HH50085","ZMB",7
"HH50086","ZMB",5
"HH50087","ZMB",5
"HH50089","ZMB",6
"HH50090","ZMB",4
"HH50093","ZMB",6
"HH50094","ZMB",3
"HH50095","ZMB",11
"HH50096","ZMB",5
"HH50097","ZMB",3
"HH50098","ZMB",5
"HH50099","ZMB",6
"HH50100","ZMB",3
"HH50101","ZMB",4
"HH50102","ZMB",3
"HH50103","ZMB",5
"HH50104","ZMB",6
"HH50105","ZMB",4
"HH50106","ZMB",7
"HH50107","ZMB",7
"HH50108","ZMB",5
"HH50109","ZMB",2
"HH50110","ZMB",4
"HH50111","ZMB",2
"HH50112","ZMB",6
"HH50113","ZMB",6
"HH50114","ZMB",7
"HH50115","ZMB",6
"HH50116","ZMB",4
"HH50117","ZMB",3
"HH50118","ZMB",6
"HH50119","ZMB",7
"HH50120","ZMB",5
"HH50122","ZMB",4
"HH50123","ZMB",8
"HH50124","ZMB",3
"HH50126","ZMB",3
"HH50127","ZMB",5
"HH50128","ZMB",8
"HH50129","ZMB",4
"HH50130","ZMB",3
"HH50131","ZMB",3
"HH50132","ZMB",1
"HH50133","ZMB",10
"HH50134","ZMB",3
"HH50135","ZMB",4
"HH50136","ZMB",1
"HH50137","ZMB",9
"HH50138","ZMB",2
"HH50139","ZMB",3
"HH50140","ZMB",3
"HH50141","ZMB",11
"HH50142","ZMB",9
"HH50143","ZMB",2
"HH50144","ZMB",7
"HH50145","ZMB",6
"HH50146","ZMB",5
"HH50147","ZMB",5
"HH50148","ZMB",3
"HH50150","ZMB",6
"HH50151","ZMB",9
"HH50153","ZMB",4
"HH50154","ZMB",5
"HH50155","ZMB",9
"HH50157","ZMB",3
"HH50158","ZMB",3
"HH50159","ZMB",5
"HH50161","ZMB",7
"HH50162","ZMB",5
"HH50163","ZMB",4
"HH50165","ZMB",1
"HH50166","ZMB",4
"HH50167","ZMB",3
"HH50169","ZMB",6
"HH50171","ZMB",4
"HH50173","ZMB",3
"HH50175","ZMB",8
"HH50177","ZMB",4
"HH50178","ZMB",6
"HH50179","ZMB",4
"HH50182","ZMB",5
"HH50183","ZMB",6
"HH50185","ZMB",1
"HH50186","ZMB",6
"HH50189","ZMB",3
"HH50191","ZMB",9
"HH50193","ZMB",6
"HH50194","ZMB",3
"HH50195","ZMB",3
"HH50197","ZMB",5
"HH50198","ZMB",1
"HH50199","ZMB",2
"HH60004","ZMB",7
"HH60005","ZMB",4
"HH60007","ZMB",7
"HH60008","ZMB",8
"HH60009","ZMB",4
"HH60011","ZMB",8
"HH60012","ZMB",11
"HH60013","ZMB",7
"HH60017","ZMB",10
"HH60019","ZMB",5
"HH60020","ZMB",8
"HH60021","ZMB",9
"HH60023","ZMB",5
"HH60024","ZMB",7
"HH60025","ZMB",4
"HH60028","ZMB",6
"HH60029","ZMB",6
"HH60032","ZMB",4
"HH60033","ZMB",4
"HH60037","ZMB",9
"HH60040","ZMB",5
"HH60041","ZMB",12
"HH60042","ZMB",4
"HH60043","ZMB",10
"HH60044","ZMB",3
"HH60045","ZMB",9
"HH60046","ZMB",6
"HH60047","ZMB",3
"HH60048","ZMB",4
"HH60049","ZMB",9
"HH60050","ZMB",2
"HH60051","ZMB",9
"HH60052","ZMB",8
"HH60053","ZMB",6
"HH60054","ZMB",4
"HH60055","ZMB",7
"HH60056","ZMB",8
"HH60057","ZMB",9
"HH60058","ZMB",15
"HH60059","ZMB",6
"HH60060","ZMB",4
"HH60061","ZMB",7
"HH60062","ZMB",7
"HH60063","ZMB",6
"HH60064","ZMB",3
"HH60065","ZMB",10
"HH60066","ZMB",7
"HH60067","ZMB",5
"HH60068","ZMB",7
"HH60069","ZMB",5
"HH60070","ZMB",9
"HH60071","ZMB",9
"HH60072","ZMB",7
"HH60073","ZMB",5
"HH60074","ZMB",9
"HH60075","ZMB",6
"HH60076","ZMB",4
"HH60077","ZMB",4
"HH60078","ZMB",8
"HH60079","ZMB",8
"HH60080","ZMB",2
"HH60081","ZMB",6
"HH60082","ZMB",3
"HH60083","ZMB",8
"HH60085","ZMB",5
"HH60086","ZMB",10
"HH60087","ZMB",8
"HH60092","ZMB",8
"HH60096","ZMB",19
"HH60100","ZMB",5
"HH60104","ZMB",7
"HH60108","ZMB",7
"HH60109","ZMB",3
"HH60112","ZMB",7
"HH60113","ZMB",5
"HH60116","ZMB",2
"HH60117","ZMB",7
"HH60118","ZMB",8
"HH60120","ZMB",8
"HH60121","ZMB",3
"HH60122","ZMB",5
"HH60124","ZMB",8
"HH60125","ZMB",7
"HH60126","ZMB",1
"HH60128","ZMB",9
"HH60129","ZMB",5
"HH60130","ZMB",6
"HH60131","ZMB",11
"HH60133","ZMB",12
"HH60135","ZMB",3
"HH60136","ZMB",1
"HH60137","ZMB",3
"HH60138","ZMB",7
"HH60139","ZMB",3
"HH60140","ZMB",3
"HH60141","ZMB",4
"HH60142","ZMB",7
"HH60143","ZMB",4
"HH60144","ZMB",6
"HH60145","ZMB",10
"HH60146","ZMB",10
"HH60147","ZMB",6
"HH60149","ZMB",5
"HH60150","ZMB",11
"HH60151","ZMB",4
"HH60152","ZMB",5
"HH60153","ZMB",10
"HH60156","ZMB",5
"HH60157","ZMB",7
"HH60158","ZMB",5
"HH60160","ZMB",7
"HH60161","ZMB",4
"HH60162","ZMB",9
"HH60164","ZMB",4
"HH60165","ZMB",8
"HH60168","ZMB",3
"HH60169","ZMB",10
"HH60172","ZMB",9
"HH60173","ZMB",7
"HH60176","ZMB",6
"HH60177","ZMB",4
"HH60180","ZMB",8
"HH60181","ZMB",9
"HH60182","ZMB",8
"HH60183","ZMB",11
"HH60184","ZMB",5
"HH60185","ZMB",7
"HH60186","ZMB",4
"HH60187","ZMB",5
"HH60188","ZMB",5
"HH60189","ZMB",7
"HH60190","ZMB",7
"HH60191","ZMB",8
"HH60192","ZMB",6
"HH60193","ZMB",7
"HH60194","ZMB",9
"HH60195","ZMB",7
"HH60196","ZMB",7
"HH60197","ZMB",9
"HH60198","ZMB",3
"HH60199","ZMB",6
"HH60200","ZMB",4
"HH70001","ZMB",5
"HH70002","ZMB",2
"HH70003","ZMB",5
"HH70005","ZMB",12
"HH70006","ZMB",3
"HH70007","ZMB",3
"HH70008","ZMB",3
"HH70009","ZMB",3
"HH70010","ZMB",6
"HH70011","ZMB",4
"HH70012","ZMB",8
"HH70013","ZMB",4
"HH70014","ZMB",5
"HH70015","ZMB",3
"HH70016","ZMB",6
"HH70017","ZMB",9
"HH70018","ZMB",4
"HH70019","ZMB",7
"HH70020","ZMB",8
"HH70021","ZMB",7
"HH70022","ZMB",8
