"part_id","hh_id","part_age","part_gender"
30001,"HH30001",74,"M"
30004,"HH30004",29,"M"
30008,"HH30008",32,"F"
30012,"HH30012",27,"F"
30024,"HH30024",48,"F"
30025,"HH30025",42,"F"
30028,"HH30028",29,"M"
30029,"HH30029",31,"F"
30030,"HH30030",19,"M"
30031,"HH30031",48,"M"
30032,"HH30032",20,"F"
30033,"HH30033",37,"F"
30034,"HH30034",22,"M"
30035,"HH30035",22,"F"
30036,"HH30036",22,"F"
30037,"HH30037",58,"F"
30038,"HH30038",35,"M"
30039,"HH30039",19,"F"
30040,"HH30040",25,"M"
30041,"HH30041",29,"F"
30042,"HH30042",19,"M"
30043,"HH30043",22,"F"
30044,"HH30044",20,"M"
30045,"HH30045",30,"F"
30046,"HH30046",23,"M"
30047,"HH30047",23,"M"
30048,"HH30048",23,"M"
30049,"HH30049",28,"F"
30050,"HH30050",22,"M"
30051,"HH30051",24,"M"
30052,"HH30052",32,"F"
30053,"HH30053",68,"M"
30054,"HH30054",53,"F"
30055,"HH30055",46,"F"
30056,"HH30056",40,"F"
30057,"HH30057",59,"M"
30058,"HH30058",35,"F"
30059,"HH30059",59,"M"
30061,"HH30061",31,"F"
30062,"HH30062",61,"F"
30063,"HH30063",25,"M"
30066,"HH30066",43,"F"
30067,"HH30067",23,"M"
30069,"HH30069",31,"M"
30070,"HH30070",20,"F"
30071,"HH30071",71,"M"
30073,"HH30073",53,"M"
30074,"HH30074",30,"F"
30075,"HH30075",39,"F"
30076,"HH30076",19,"M"
30077,"HH30077",25,"F"
30078,"HH30078",42,"F"
30079,"HH30079",32,"F"
30080,"HH30080",18,"M"
30081,"HH30081",26,"F"
30082,"HH30082",32,"M"
30083,"HH30083",35,"F"
30084,"HH30084",21,"M"
30086,"HH30086",37,"M"
30087,"HH30087",33,"F"
30088,"HH30088",45,"M"
30089,"HH30089",40,"M"
30091,"HH30091",41,"F"
30092,"HH30092",37,"F"
30093,"HH30093",30,"F"
