"part_id","Q05_LOH","Q06_LOC","Q07_HTI","Q19_TVO","Q20_TVF","Q21_TVL","Q22_TVA","Q23_TVK","Q24_MUS","Q25_CHU","Q26_CHF","Q27_CHL","Q28_CHA","Q29_CHK","Q30_BAR","Q31_BAF","Q32_BAL","Q33_BAA","Q34_BAK","Q35_HAI","Q36_HAF","Q37_HAL","Q38_HAA","Q39_HAK","Q40_SCH","Q41_SCF","Q42_SCL","Q43_SCA","Q44_SCK","Q45_TAX","Q46_TXA","Q47_TXK","Q48_TXL","Q49_TXF","Q50_TXC","Q51_TXB_0","Q51_TXB_1","Q51_TXB_2","Q51_TXB_3","Q51_TXB_4","Q53_PEP","Q54_BUH","Q56_JOB_0","Q56_JOB_1","Q56_JOB_2","Q56_JOB_3","Q56_JOB_4","Q56_JOB_5","Q56_JOB_6","Q56_JOB_7","Q57_MIN","Q58_PRI","Q59_AWA","Q60_FUN","Q61_HOY","Q62_HCS","Q63_HCC","Q64_HCR","Q65_HCH","Q66_CAF","Q67_CAT","Q68_CAW","Q69_CAB","Q70_CAC","Q71_CAH","Q72_CAK","Q73_CAS","Q74_CAM","Q75_CAV","Q76_RTC","Q77_RCL","Q78_RSC","Q79_RMK","Q80_ROH","Q81_RHH","Q82_RCH","Q83_RBA","Q84_RVC","Q85_RHB","Q86_RMB","Q87_ROC","Q88_PRT","Q89_PRP"
30001,4,4,3,0,NA,NA,NA,NA,0,1,2,1,6,5,0,NA,NA,NA,NA,1,0,0,1,0,1,0,1,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"",NA
30004,2,2,1,0,NA,NA,NA,NA,0,1,1,3,6,0,1,7,3,6,0,1,1,0,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,"",NA
30008,2,2,1,1,0,1,2,1,0,1,1,1,6,6,0,NA,NA,NA,NA,1,0,1,1,0,0,NA,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"",NA
30012,1,2,3,0,NA,NA,NA,NA,0,1,4,1,6,5,0,NA,NA,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,1,2,1,1,2,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"",NA
30024,3,4,4,1,3,1,1,1,0,1,3,4,6,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2,0,2,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,"",NA
30025,2,4,4,1,2,1,1,0,0,1,7,2,1,1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2,1,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,"",NA
30028,4,4,3,0,NA,NA,NA,NA,0,1,4,3,6,6,0,NA,NA,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,1,2,0,1,1,1,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,"",NA
30029,4,4,4,0,NA,NA,NA,NA,0,1,2,1,6,5,1,0,1,6,6,1,0,1,2,1,0,NA,NA,NA,NA,1,2,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,"",NA
30030,3,3,1,1,99,2,3,0,0,0,NA,NA,NA,NA,1,99,0,4,0,1,10,0,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,NA,10,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,"",NA
30031,3,3,3,0,NA,NA,NA,NA,0,1,3,2,3,4,0,NA,NA,NA,NA,1,0,0,1,0,1,0,1,2,0,1,2,2,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,"",NA
