"part_id","sday_id","day","month","year","dayofweek"
30001,20110325,25,3,2011,5
30004,20110326,26,3,2011,6
30008,20110326,26,3,2011,6
30012,20110328,28,3,2011,1
30024,20110315,15,3,2011,2
30025,20110328,28,3,2011,1
30028,20110314,14,3,2011,1
30029,20110314,14,3,2011,1
30030,20110322,22,3,2011,2
30031,20110325,25,3,2011,5
30032,20110322,22,3,2011,2
30033,20110314,14,3,2011,1
30034,20110322,22,3,2011,2
30035,20110325,25,3,2011,5
30036,20110322,22,3,2011,2
30037,20110304,4,3,2011,5
30038,20110321,21,3,2011,1
30039,20110325,25,3,2011,5
30040,20110325,25,3,2011,5
30041,20110314,14,3,2011,1
30042,20110322,22,3,2011,2
30043,20110325,25,3,2011,5
30044,20110325,25,3,2011,5
30045,20110321,21,3,2011,1
30046,20110321,21,3,2011,1
30047,20110323,23,3,2011,3
30048,20110325,25,3,2011,5
30049,20110321,21,3,2011,1
30050,20110321,21,3,2011,1
30051,20110323,23,3,2011,3
30052,20110326,26,3,2011,6
30053,20110314,14,3,2011,1
30054,20110314,14,3,2011,1
30055,20110316,16,3,2011,3
30056,20110321,21,3,2011,1
30057,20110314,14,3,2011,1
30058,20110314,14,3,2011,1
30059,20110314,14,3,2011,1
30061,20110325,25,3,2011,5
30062,20110315,15,3,2011,2
30063,20110314,14,3,2011,1
30066,20110315,15,3,2011,2
30067,20110314,14,3,2011,1
30069,20110326,26,3,2011,6
30070,20110321,21,3,2011,1
30071,20110314,14,3,2011,1
30073,20110326,26,3,2011,6
30074,20110317,17,3,2011,4
30075,20110316,16,3,2011,3
30076,20110321,21,3,2011,1
30077,20110325,25,3,2011,5
30078,20110316,16,3,2011,3
30079,20110316,16,3,2011,3
30080,20110321,21,3,2011,1
30081,20110325,25,3,2011,5
30082,20110315,15,3,2011,2
30083,20110317,17,3,2011,4
30084,20110321,21,3,2011,1
30086,20110315,15,3,2011,2
30087,20110316,16,3,2011,3
30088,20110322,22,3,2011,2
30089,20110326,26,3,2011,6
30091,20110317,17,3,2011,4
30092,20110323,23,3,2011,3
30093,20110323,23,3,2011,3
30095,20110321,21,3,2011,1
30096,20110324,24,3,2011,4
30097,20110317,17,3,2011,4
30098,20110316,16,3,2011,3
30099,20110315,15,3,2011,2
30100,20110322,22,3,2011,2
30101,20110318,18,3,2011,5
30102,20110316,16,3,2011,3
30103,20110316,16,3,2011,3
30104,20110321,21,3,2011,1
30105,20110321,21,3,2011,1
30106,20110317,17,3,2011,4
30107,20110316,16,3,2011,3
30108,20110321,21,3,2011,1
30109,20110323,23,3,2011,3
30110,20110317,17,3,2011,4
30111,20110316,16,3,2011,3
30112,20110325,25,3,2011,5
30113,20110323,23,3,2011,3
30114,19011213,13,12,1901,5
30115,20110316,16,3,2011,3
30116,20110325,25,3,2011,5
30117,20110314,14,3,2011,1
30118,20110321,21,3,2011,1
30119,20110317,17,3,2011,4
30120,20110322,22,3,2011,2
30121,20110314,14,3,2011,1
30122,20110321,21,3,2011,1
30123,20110318,18,3,2011,5
30124,20110321,21,3,2011,1
30125,20110314,14,3,2011,1
30126,20110321,21,3,2011,1
30128,20110321,21,3,2011,1
30129,20110314,14,3,2011,1
30130,20110314,14,3,2011,1
30131,20110314,14,3,2011,1
30132,20110321,21,3,2011,1
30133,20110314,14,3,2011,1
30134,20110317,17,3,2011,4
30135,20110321,21,3,2011,1
30136,20110321,21,3,2011,1
30137,20110314,14,3,2011,1
30138,20110314,14,3,2011,1
30139,20110321,21,3,2011,1
30140,20110321,21,3,2011,1
30141,20110321,21,3,2011,1
30143,20110328,28,3,2011,1
30144,20110326,26,3,2011,6
30145,20110321,21,3,2011,1
30147,20110328,28,3,2011,1
30148,20110328,28,3,2011,1
30152,20110325,25,3,2011,5
30153,20110325,25,3,2011,5
30156,20110322,22,3,2011,2
30164,20110318,18,3,2011,5
30168,20110325,25,3,2011,5
30169,20110326,26,3,2011,6
30172,20110325,25,3,2011,5
30173,20110325,25,3,2011,5
30176,20110325,25,3,2011,5
30179,20110321,21,3,2011,1
30180,20110314,14,3,2011,1
30183,20110321,21,3,2011,1
30184,20110315,15,3,2011,2
30187,20110315,15,3,2011,2
30188,20110316,16,3,2011,3
30189,20110328,28,3,2011,1
30191,20110315,15,3,2011,2
30192,20110316,16,3,2011,3
30193,20110328,28,3,2011,1
30195,20110316,16,3,2011,3
30196,19011213,13,12,1901,5
30197,20110328,28,3,2011,1
30199,20110316,16,3,2011,3
30200,20110314,14,3,2011,1
40001,20110221,21,2,2011,1
40003,20110310,10,3,2011,4
40004,20110223,23,2,2011,3
40005,20110221,21,2,2011,1
40008,20110223,23,2,2011,3
40009,20110221,21,2,2011,1
40011,20110311,11,3,2011,5
40012,20110228,28,2,2011,1
40013,20110221,21,2,2011,1
40016,20110303,3,3,2011,4
40019,20110221,21,2,2011,1
40020,20110221,21,2,2011,1
40022,20110304,4,3,2011,5
40023,20110222,22,2,2011,2
40024,20110221,21,2,2011,1
40026,20110305,5,3,2011,6
40028,20110221,21,2,2011,1
40030,20110304,4,3,2011,5
40031,20110221,21,2,2011,1
40032,20110221,21,2,2011,1
40034,20110304,4,3,2011,5
40035,20110222,22,2,2011,2
40036,20110221,21,2,2011,1
40037,20110305,5,3,2011,6
40038,20110310,10,3,2011,4
40039,20110222,22,2,2011,2
40040,20110222,22,2,2011,2
40043,20110222,22,2,2011,2
40044,20110221,21,2,2011,1
40046,20110310,10,3,2011,4
40047,20110225,25,2,2011,5
40048,20110221,21,2,2011,1
40049,20110223,23,2,2011,3
40050,20110309,9,3,2011,3
40051,20110309,9,3,2011,3
40052,20110224,24,2,2011,4
40053,20110223,23,2,2011,3
40055,20110309,9,3,2011,3
40056,20110224,24,2,2011,4
40057,20110222,22,2,2011,2
40059,20110309,9,3,2011,3
40060,20110225,25,2,2011,5
40061,20110221,21,2,2011,1
40062,20110221,21,2,2011,1
40063,20110309,9,3,2011,3
40064,20110228,28,2,2011,1
40065,20110221,21,2,2011,1
40066,20110222,22,2,2011,2
40067,20110309,9,3,2011,3
40068,20110228,28,2,2011,1
40069,20110221,21,2,2011,1
40070,19011213,13,12,1901,5
40071,20110309,9,3,2011,3
40072,20110304,4,3,2011,5
40073,20110221,21,2,2011,1
40074,20110222,22,2,2011,2
40075,20110310,10,3,2011,4
40076,20110304,4,3,2011,5
40077,20110304,4,3,2011,5
40079,20110222,22,2,2011,2
40080,20110223,23,2,2011,3
40081,20110228,28,2,2011,1
40083,20110223,23,2,2011,3
40084,20110223,23,2,2011,3
40085,20110228,28,2,2011,1
40087,20110303,3,3,2011,4
40088,20110224,24,2,2011,4
40089,20110228,28,2,2011,1
40091,20110224,24,2,2011,4
40092,20110224,24,2,2011,4
40093,20110228,28,2,2011,1
40096,20110224,24,2,2011,4
40097,20110303,3,3,2011,4
40100,20110228,28,2,2011,1
40104,20110228,28,2,2011,1
40105,20110304,4,3,2011,5
40108,20110304,4,3,2011,5
40109,20110309,9,3,2011,3
40112,20110304,4,3,2011,5
40113,20110309,9,3,2011,3
40116,20110304,4,3,2011,5
40117,20110309,9,3,2011,3
40120,20110304,4,3,2011,5
40121,20110310,10,3,2011,4
40124,20110309,9,3,2011,3
40125,20110310,10,3,2011,4
40128,20110309,9,3,2011,3
40129,20110310,10,3,2011,4
40130,20110309,9,3,2011,3
40131,20110223,23,2,2011,3
40132,20110228,28,2,2011,1
40134,20110309,9,3,2011,3
40135,20110303,3,3,2011,4
40136,20110223,23,2,2011,3
40138,20110309,9,3,2011,3
40139,20110304,4,3,2011,5
40140,20110223,23,2,2011,3
40141,20110309,9,3,2011,3
40142,20110309,9,3,2011,3
40143,20110305,5,3,2011,6
40144,20110225,25,2,2011,5
40146,20110309,9,3,2011,3
40147,20110305,5,3,2011,6
40148,20110223,23,2,2011,3
40150,20110310,10,3,2011,4
40151,20110305,5,3,2011,6
40152,20110323,23,3,2011,3
40154,20110310,10,3,2011,4
40155,20110305,5,3,2011,6
40156,20110224,24,2,2011,4
40158,20110310,10,3,2011,4
40159,20110309,9,3,2011,3
40160,20110222,22,2,2011,2
40161,20110225,25,2,2011,5
40162,20110222,22,2,2011,2
40163,20110225,25,2,2011,5
40164,20110222,22,2,2011,2
40165,20110224,24,2,2011,4
40166,20110223,23,2,2011,3
40167,20110224,24,2,2011,4
40168,20110223,23,2,2011,3
40169,20110228,28,2,2011,1
40170,20110224,24,2,2011,4
40171,20110223,23,2,2011,3
40172,20110222,22,2,2011,2
40173,20110224,24,2,2011,4
40174,20110224,24,2,2011,4
40175,20110223,23,2,2011,3
40176,20110222,22,2,2011,2
40177,20110223,23,2,2011,3
40178,20110224,24,2,2011,4
40179,20110222,22,2,2011,2
40180,20110303,3,3,2011,4
40184,20110309,9,3,2011,3
40185,20110309,9,3,2011,3
40188,20110228,28,2,2011,1
40189,20110309,9,3,2011,3
40192,20110309,9,3,2011,3
40193,20110309,9,3,2011,3
40196,20110305,5,3,2011,6
40197,20110309,9,3,2011,3
40198,20110309,9,3,2011,3
40200,20110305,5,3,2011,6
50001,20110225,25,2,2011,5
50002,20110222,22,2,2011,2
50004,20110304,4,3,2011,5
50005,20110227,27,2,2011,0
50006,20110223,23,2,2011,3
50007,20110222,22,2,2011,2
50008,20110304,4,3,2011,5
50009,20110223,23,2,2011,3
50010,20110221,21,2,2011,1
50012,20110304,4,3,2011,5
50013,20110223,23,2,2011,3
50014,20110221,21,2,2011,1
50016,20110304,4,3,2011,5
50017,20110223,23,2,2011,3
50020,20110304,4,3,2011,5
50021,20110228,28,2,2011,1
50024,20110304,4,3,2011,5
50025,20110224,24,2,2011,4
50026,20110222,22,2,2011,2
50027,20110222,22,2,2011,2
50028,20110304,4,3,2011,5
50029,20110307,7,3,2011,1
50031,20110304,4,3,2011,5
50033,20110307,7,3,2011,1
50035,20110305,5,3,2011,6
50039,20110307,7,3,2011,1
50041,20110307,7,3,2011,1
50043,20110303,3,3,2011,4
50045,20110312,12,3,2011,6
50049,20110307,7,3,2011,1
50053,20110308,8,3,2011,2
50057,20110312,12,3,2011,6
50061,20110304,4,3,2011,5
50066,20110224,24,2,2011,4
50067,20110222,22,2,2011,2
50070,20110224,24,2,2011,4
50071,20110301,1,3,2011,2
50073,20110301,1,3,2011,2
50074,20110224,24,2,2011,4
50075,20110301,1,3,2011,2
50077,20110307,7,3,2011,1
50078,20110301,1,3,2011,2
50079,20110302,2,3,2011,3
50081,20110302,2,3,2011,3
50082,20110302,2,3,2011,3
50083,19011213,13,12,1901,5
50085,20110304,4,3,2011,5
50086,20110201,1,2,2011,2
50087,20110302,2,3,2011,3
50089,20110304,4,3,2011,5
50090,20110304,4,3,2011,5
50093,20110224,24,2,2011,4
50094,20110303,3,3,2011,4
50095,20110305,5,3,2011,6
50096,20110301,1,3,2011,2
50097,20110224,24,2,2011,4
50098,20110303,3,3,2011,4
50099,20110307,7,3,2011,1
50100,20110301,1,3,2011,2
