part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_shop,cnt_otherplace,frequency_multi,phys_contact,duration_multi
1,1,38,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
1,2,7,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
1,3,5,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2
1,4,45,,,F,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,1
1,5,25,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2
1,6,13,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1
1,7,16,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2
2,8,30,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
2,9,50,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1
2,10,25,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,1
2,11,40,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2
2,12,55,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,1
2,13,35,,,F,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,1
2,14,25,,,F,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,1
2,15,35,,,F,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,1
2,16,25,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,1
2,17,8,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2
2,18,7,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2
2,19,32,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
3,20,16,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,5
3,21,18,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,5
3,22,22,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
3,23,5,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2
3,24,4,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
3,25,2,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
3,26,22,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2
3,27,28,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2
3,28,17,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
3,29,12,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2
3,30,16,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2
4,31,38,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,5
4,32,56,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,5
4,33,8,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,5
4,34,7,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,4
4,35,28,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,4
4,36,0,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,5
5,37,10,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3
5,38,32,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3
5,39,20,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
6,40,45,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,3
6,41,30,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,2
6,42,40,,,M,FALSE,FALSE,TRUE,FALSE,FALSE,2,1,1
7,43,13,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1
7,44,25,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,5
7,45,7,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,4
7,46,0,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,5
7,47,35,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,2
7,48,42,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,2
7,49,50,,,F,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1
7,50,25,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,2
7,51,35,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,2
7,52,19,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,1
7,53,20,,,F,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,1
7,54,35,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,2
7,55,50,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1
8,56,55,,,F,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,5
8,57,30,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,5
8,58,33,,,M,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,5
8,59,30,,,F,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,2
