cont_id,contact_relationship,contact_setting,contact_city
1,Other relative,Another house,Digaale
2,Other relative,Another house,Digaale
3,Other relative,Another house,Digaale
4,Other relative,Shop,Digaale
5,Friend,Another house,Digaale
6,Other relative,Another house,Digaale
7,Other relative,Another house,Digaale
8,Friend,Another house; Home,Digaale
9,Friend,Another house,Digaale
10,Other relative,Another house,Digaale
11,Other relative,Another house,Digaale
12,Other relative,Another house,Digaale
13,Other relative,Shop,Digaale
14,Other relative,Shop,Digaale
15,Other relative,Shop,Digaale
16,Other relative,Another house,Digaale
17,Other relative,Home,Digaale
18,Other relative,Home,Digaale
19,Other relative,Another house,Digaale
20,Household member,Home,Digaale
21,Household member,Home,Digaale
22,Other relative,Home,Digaale
23,Other relative,Home,Digaale
24,Other relative,Home,Digaale
25,Other relative,Home,Digaale
26,Friend,Another house; Home,Digaale
27,Friend,Home,Digaale
28,Friend,Another house,Digaale
29,Other relative,Home,Digaale
30,Friend,Another house,Digaale
31,Household member,Home,Digaale
32,Other relative,Another house,Digaale
33,Other relative,Another house,Digaale
34,Other relative,Another house,Digaale
35,Other relative,Another house,Digaale
36,Household member,Home,Digaale
37,Household member,Home,Digaale
38,Household member,Home,Digaale
39,Friend,Another house,Digaale
40,Friend,Another house,Digaale
41,Household member,Home,Digaale
42,Coworker or schoolmate,School,Digaale
43,Other,Home,Digaale
44,Household member,Home,Digaale
45,Household member,Home,Digaale
46,Household member,Home,Digaale
47,Friend,Home; Another house,Digaale
48,Other,Home,Digaale
49,Other,Market,Digaale
50,Other relative,Home,Digaale
51,Other relative,Home,Digaale
52,Other relative,Home,Digaale
53,Friend,Market,Digaale
54,Other relative,Another house,Digaale
55,Other,Another house,Digaale
56,Household member,Home,Digaale
57,Household member,Home,Digaale
58,Household member,Home,Digaale
59,Other,Market,Digaale
60,Friend,Another house,Digaale
61,Friend,Another house,Digaale
62,Friend,Another house,Digaale
63,Other relative,Another house,Digaale
64,Friend,Another house,Digaale
65,Friend,Another house,Digaale
66,Coworker or schoolmate,Another house,Digaale
67,Other relative,Another house,Digaale
68,Other relative,Another house,Digaale
69,Other relative,Another house,Digaale
70,Other relative,Another house,Digaale
71,Household member,Home,Digaale
72,Other relative,Another house,Digaale
73,Household member,Home,Digaale
74,Household member,Home,Digaale
75,Household member,Home,Digaale
76,Friend,Home,Digaale
77,Other relative,Home,Digaale
78,Other relative,Home,Digaale
79,Other relative,Another house,Digaale
80,Friend,Another house,Digaale
81,Friend,Another house,Digaale
82,Friend,Home,Digaale
83,Friend,Another house,Digaale
84,Other relative,Home,Digaale
85,Other relative,Another house,Digaale
86,Household member,Home,Digaale
87,Household member,Home,Digaale
88,Household member,Home,Digaale
89,Household member,Home,Digaale
90,Household member,Home,Digaale
91,Friend,School,Hargeisa
92,Friend,School,Digaale
93,Friend,School,Hargeisa
94,Household member,Home,Digaale
95,Other,Shop,Digaale
96,Other,School,Hargeisa
97,Household member,Home,Digaale
98,Friend,School; Another house,Digaale
99,Friend,School,Digaale
100,Friend,School,Digaale
101,Friend,School; Another house,Digaale
102,Friend,Another house; School,Digaale
103,Friend,Another house; School,Digaale
104,Friend,Another house; School,Digaale
105,Other relative,School,Digaale
106,Other relative,Another house,Digaale
107,Other relative,Another house,Digaale
108,Other relative,Another house,Digaale
109,Friend,Another house,Digaale
110,Other relative,Another house,Digaale
111,Coworker or schoolmate,Another house,Digaale
112,Other relative,Another house,Digaale
113,Household member,Home,Digaale
114,Other relative,Another house,Digaale
115,Other relative,Another house,Digaale
116,Other relative,Another house,Digaale
117,Other relative,Another house,Digaale
118,Household member,Home,Digaale
119,Friend,Home,Digaale
120,Friend,Home,Digaale
121,Friend,Home,Digaale
122,Friend,Home,Digaale
123,Friend,Home,Digaale
124,Friend,Market,Digaale
125,Friend,Market,Digaale
126,Friend,Market,Digaale
127,Friend,Home,Digaale
128,Friend,Market,Digaale
129,Friend,Market,Digaale
130,Household member,Home,Digaale
131,Household member,Home,Digaale
132,Household member,Another house,Digaale
133,Household member,Home,Digaale
134,Household member,Home,Digaale
135,Other relative,Another house,Digaale
136,Household member,Another house,Digaale
137,Friend,Another house,Digaale
138,Household member,Another house,Digaale
139,Household member,Another house,Digaale
140,Household member,Another house,Digaale
141,Household member,Another house,Digaale
142,Household member,Home,Digaale
143,Household member,Another house,Digaale
144,Household member,Another house,Digaale
145,Household member,Home,Digaale
146,Household member,Home,Digaale
147,Household member,Another house,Digaale
148,Household member,Home,Digaale
149,Household member,Home,Digaale
150,Household member,Home,Digaale
151,Friend,Home,Digaale
152,Friend,Market,Digaale
153,Friend,Shop,Digaale
154,Friend,Home,Digaale
155,Household member,Home,Digaale
156,Other relative,Shop,Digaale
157,Other relative,Another house,Digaale
158,Household member,Water source; Home,Digaale
159,Household member,Shop,Digaale
160,Household member,Shop,Digaale
161,Other relative,Home,Digaale
162,Other relative,Another house,Digaale
163,Friend,Another house,Digaale
164,Household member,Home,Digaale
165,Household member,Home,Digaale
166,Household member,Home,Digaale
167,Household member,Home,Digaale
168,Household member,Home,Digaale
169,Friend,Shop; School; Home; Another house,Digaale
170,Friend,Home; Another house; Shop,Digaale
171,Friend,School,Digaale
172,Friend,School,Digaale
173,Friend,Shop; School,Digaale
174,Friend,Shop; School; Home,Digaale
175,Friend,School,Digaale
176,Friend,School; Home,Digaale
177,Friend,School,Digaale
178,Friend,Home; Another house; School,Digaale
179,Household member,Home,Digaale
180,Household member,Home,Digaale
181,Other relative,Another house,Digaale
182,Friend,Another house,Digaale
183,Other relative,Shop,Digaale
184,Other relative,Another house,Digaale
185,Other relative,Home,Digaale
186,Household member,Home,Digaale
187,Household member,Home,Digaale
188,Household member,Home,Digaale
189,Household member,Home,Digaale
190,Household member,Home,Digaale
191,Household member,Home,Digaale
192,Household member,Home,Digaale
193,Household member,Home,Digaale
194,Friend,Another house,Digaale
195,Friend,Another house,Digaale
196,Friend,School,Digaale
197,Friend,School,Digaale
198,Friend,School,Digaale
199,Friend,School,Digaale
200,Household member,Home,Digaale
201,Household member,Home,Digaale
202,Household member,Home,Digaale
203,Household member,Home,Digaale
204,Household member,Home,Digaale
205,Household member,Home,Digaale
206,Household member,Another house,Hargeisa
207,Other relative,Another house,Hargeisa
208,Other relative,Home,Digaale
209,Other relative,Another house,Digaale
210,Friend,School,Digaale
211,Friend,Another house,Digaale
212,Friend,School,Digaale
213,Other,Another house,Digaale
214,Friend,School,Digaale
215,Friend,School,Digaale
216,Friend,School,Digaale
217,Household member,Home,Digaale
218,Other relative,Home,Digaale
219,Other relative,Home; Another house,Digaale
220,Household member,Home,Digaale
221,Household member,Home,Digaale
222,Other relative,Home,Digaale
223,Other relative,Home,Digaale
224,Other relative,Home,Digaale
225,Other relative,Another house,Digaale
226,Other relative,Another house,Digaale
227,Other relative,Another house,Digaale
228,Household member,Home,Digaale
229,Friend,Market,Digaale
230,Other relative,Another house,Digaale
231,Other relative,Market,Digaale
232,Other,Market,Digaale
233,Other,Another house,Digaale
234,Other,Shop,Digaale
235,Other,Home,Digaale
236,Coworker or schoolmate,Home,Digaale
237,Other relative,Another house,Digaale
238,Household member,Home,Digaale
239,Household member,Home,Digaale
