part_id,sample_weight,household_size,contacts_other_est,country
1,0.419829633527212,2,>20,Somaliland
2,0.209914816763606,1,11-20,Somaliland
3,0.629744450290818,3,11-20,Somaliland
4,0.419829633527212,2,11-20,Somaliland
5,1.04957408381803,5,11-20,Somaliland
6,0.839659267054423,4,>20,Somaliland
7,0.419829633527212,2,11-20,Somaliland
8,1.04957408381803,5,6-10,Somaliland
9,1.25948890058164,6,6-10,Somaliland
10,1.04957408381803,5,>20,Somaliland
11,0.419829633527212,2,>20,Somaliland
12,0.839659267054423,4,>20,Somaliland
13,0.839659267054423,4,>20,Somaliland
14,0.629744450290818,3,11-20,Somaliland
15,1.46940371734524,7,11-20,Somaliland
16,0.839659267054423,4,>20,Somaliland
17,0.629744450290818,3,11-20,Somaliland
18,1.67931853410885,8,>20,Somaliland
19,0.839659267054423,4,3-5,Somaliland
20,1.46940371734524,7,11-20,Somaliland
21,0.926520570542812,4.41379310344828,11-20,Somaliland
22,1.25948890058164,6,>20,Somaliland
23,0.629744450290818,3,6-10,Somaliland
24,1.67931853410885,8,3-5,Somaliland
25,1.46940371734524,7,6-10,Somaliland
26,0.629744450290818,3,11-20,Somaliland
27,0.419829633527212,2,>20,Somaliland
28,0.419829633527212,2,>20,Somaliland
29,0.419829633527212,2,>20,Somaliland
30,0.419829633527212,2,11-20,Somaliland
31,1.04957408381803,5,11-20,Somaliland
32,0.419829633527212,2,>20,Somaliland
33,1.04957408381803,5,>20,Somaliland
34,1.04957408381803,5,>20,Somaliland
35,1.88923335087245,9,>20,Somaliland
36,0.419829633527212,2,>20,Somaliland
37,0.839659267054423,4,11-20,Somaliland
38,1.04957408381803,5,>20,Somaliland
39,1.25948890058164,6,3-5,Somaliland
40,0.419829633527212,2,6-10,Somaliland
41,0.419829633527212,2,11-20,Somaliland
42,0.629744450290818,3,11-20,Somaliland
43,1.25948890058164,6,>20,Somaliland
44,1.46940371734524,7,11-20,Somaliland
45,0.839659267054423,4,11-20,Somaliland
46,1.88923335087245,9,>20,Somaliland
47,1.25948890058164,6,6-10,Somaliland
48,1.04957408381803,5,6-10,Somaliland
49,1.67931853410885,8,11-20,Somaliland
50,1.46940371734524,7,11-20,Somaliland
51,0.629744450290818,3,11-20,Somaliland
52,2.09914816763606,10,11-20,Somaliland
53,1.67931853410885,8,6-10,Somaliland
54,0.839659267054423,4,11-20,Somaliland
55,2.30906298439966,11,11-20,Somaliland
56,0.629744450290818,3,3-5,Somaliland
57,1.67931853410885,8,>20,Somaliland
58,1.04957408381803,5,>20,Somaliland
59,1.67931853410885,8,>20,Somaliland
60,0.629744450290818,3,11-20,Somaliland
61,1.25948890058164,6,6-10,Somaliland
62,1.46940371734524,7,6-10,Somaliland
63,1.04957408381803,5,>20,Somaliland
64,1.25948890058164,6,6-10,Somaliland
65,0.419829633527212,2,11-20,Somaliland
66,1.46940371734524,7,11-20,Somaliland
67,1.46940371734524,7,>20,Somaliland
68,0.839659267054423,4,11-20,Somaliland
69,1.25948890058164,6,11-20,Somaliland
70,2.30906298439966,11,>20,Somaliland
71,0.629744450290818,3,3-5,Somaliland
72,1.46940371734524,7,>20,Somaliland
73,0.629744450290818,3,11-20,Somaliland
74,1.25948890058164,6,6-10,Somaliland
75,0.926520570542812,4.41379310344828,11-20,Somaliland
76,1.25948890058164,6,6-10,Somaliland
