part_id,sday_id,day,month,year,dayofweek,dayofweek_name,weekend
1,20191018,18,10,2019,5,Friday,TRUE
2,20191023,23,10,2019,3,Wednesday,FALSE
3,20191020,20,10,2019,0,Sunday,FALSE
4,20191020,20,10,2019,0,Sunday,FALSE
5,20191014,14,10,2019,1,Monday,FALSE
6,20191004,04,10,2019,5,Friday,TRUE
7,20191011,11,10,2019,5,Friday,TRUE
8,20191015,15,10,2019,2,Tuesday,FALSE
9,20191023,23,10,2019,3,Wednesday,FALSE
10,20191007,07,10,2019,1,Monday,FALSE
11,20191011,11,10,2019,5,Friday,TRUE
12,20191011,11,10,2019,5,Friday,TRUE
13,20191007,07,10,2019,1,Monday,FALSE
14,20191022,22,10,2019,2,Tuesday,FALSE
15,20191015,15,10,2019,2,Tuesday,FALSE
16,20191104,04,11,2019,1,Monday,FALSE
17,20191022,22,10,2019,2,Tuesday,FALSE
18,20191007,07,10,2019,1,Monday,FALSE
19,20191004,04,10,2019,5,Friday,TRUE
20,20191004,04,10,2019,5,Friday,TRUE
21,20191005,05,10,2019,6,Saturday,TRUE
22,20191019,19,10,2019,6,Saturday,TRUE
23,20191030,30,10,2019,3,Wednesday,FALSE
24,20191011,11,10,2019,5,Friday,TRUE
25,20191004,04,10,2019,5,Friday,TRUE
26,20191101,01,11,2019,5,Friday,TRUE
27,20191007,07,10,2019,1,Monday,FALSE
28,20191004,04,10,2019,5,Friday,TRUE
29,20191011,11,10,2019,5,Friday,TRUE
30,20191102,02,11,2019,6,Saturday,TRUE
31,20191018,18,10,2019,5,Friday,TRUE
32,20191019,19,10,2019,6,Saturday,TRUE
33,20191018,18,10,2019,5,Friday,TRUE
34,20191007,07,10,2019,1,Monday,FALSE
35,20191022,22,10,2019,2,Tuesday,FALSE
36,20191103,03,11,2019,0,Sunday,FALSE
37,20191014,14,10,2019,1,Monday,FALSE
38,20191023,23,10,2019,3,Wednesday,FALSE
39,20191011,11,10,2019,5,Friday,TRUE
40,20191023,23,10,2019,3,Wednesday,FALSE
41,20191019,19,10,2019,6,Saturday,TRUE
42,20191008,08,10,2019,2,Tuesday,FALSE
43,20191014,14,10,2019,1,Monday,FALSE
44,20191022,22,10,2019,2,Tuesday,FALSE
45,20191025,25,10,2019,5,Friday,TRUE
46,20191018,18,10,2019,5,Friday,TRUE
47,20191028,28,10,2019,1,Monday,FALSE
48,20191018,18,10,2019,5,Friday,TRUE
49,20191028,28,10,2019,1,Monday,FALSE
50,20191025,25,10,2019,5,Friday,TRUE
51,20191025,25,10,2019,5,Friday,TRUE
52,20191020,20,10,2019,0,Sunday,FALSE
53,20191028,28,10,2019,1,Monday,FALSE
54,20191023,23,10,2019,3,Wednesday,FALSE
55,20191018,18,10,2019,5,Friday,TRUE
56,20191104,04,11,2019,1,Monday,FALSE
57,20191028,28,10,2019,1,Monday,FALSE
58,20191019,19,10,2019,6,Saturday,TRUE
59,20191028,28,10,2019,1,Monday,FALSE
60,20191022,22,10,2019,2,Tuesday,FALSE
61,20191022,22,10,2019,2,Tuesday,FALSE
62,20191026,26,10,2019,6,Saturday,TRUE
63,20191014,14,10,2019,1,Monday,FALSE
64,20191019,19,10,2019,6,Saturday,TRUE
65,20191023,23,10,2019,3,Wednesday,FALSE
66,20191022,22,10,2019,2,Tuesday,FALSE
67,20191028,28,10,2019,1,Monday,FALSE
68,20191103,03,11,2019,0,Sunday,FALSE
69,20191009,09,10,2019,3,Wednesday,FALSE
70,20191016,16,10,2019,3,Wednesday,FALSE
71,20191104,04,11,2019,1,Monday,FALSE
72,20191011,11,10,2019,5,Friday,TRUE
73,20191018,18,10,2019,5,Friday,TRUE
74,20191022,22,10,2019,2,Tuesday,FALSE
75,20191011,11,10,2019,5,Friday,TRUE
76,20191019,19,10,2019,6,Saturday,TRUE
77,20191019,19,10,2019,6,Saturday,TRUE
78,20191018,18,10,2019,5,Friday,TRUE
79,20191028,28,10,2019,1,Monday,FALSE
80,20191011,11,10,2019,5,Friday,TRUE
81,20191028,28,10,2019,1,Monday,FALSE
82,20191030,30,10,2019,3,Wednesday,FALSE
83,20191020,20,10,2019,0,Sunday,FALSE
84,20191014,14,10,2019,1,Monday,FALSE
85,20191020,20,10,2019,0,Sunday,FALSE
86,20191018,18,10,2019,5,Friday,TRUE
87,20191028,28,10,2019,1,Monday,FALSE
88,20191026,26,10,2019,6,Saturday,TRUE
89,20191009,09,10,2019,3,Wednesday,FALSE
90,20191026,26,10,2019,6,Saturday,TRUE
91,20191026,26,10,2019,6,Saturday,TRUE
92,20191008,08,10,2019,2,Tuesday,FALSE
93,20191011,11,10,2019,5,Friday,TRUE
94,20191014,14,10,2019,1,Monday,FALSE
95,20191004,04,10,2019,5,Friday,TRUE
96,20191018,18,10,2019,5,Friday,TRUE
97,20191018,18,10,2019,5,Friday,TRUE
98,20191011,11,10,2019,5,Friday,TRUE
99,20191009,09,10,2019,3,Wednesday,FALSE
100,20191011,11,10,2019,5,Friday,TRUE
101,20191018,18,10,2019,5,Friday,TRUE
102,20191026,26,10,2019,6,Saturday,TRUE
103,20191018,18,10,2019,5,Friday,TRUE
104,20191026,26,10,2019,6,Saturday,TRUE
105,20191014,14,10,2019,1,Monday,FALSE
106,20191014,14,10,2019,1,Monday,FALSE
107,20191013,13,10,2019,0,Sunday,FALSE
108,20191030,30,10,2019,3,Wednesday,FALSE
109,20191011,11,10,2019,5,Friday,TRUE
110,20191011,11,10,2019,5,Friday,TRUE
111,20191011,11,10,2019,5,Friday,TRUE
112,20191023,23,10,2019,3,Wednesday,FALSE
113,20191007,07,10,2019,1,Monday,FALSE
114,20191014,14,10,2019,1,Monday,FALSE
115,20191014,14,10,2019,1,Monday,FALSE
116,20191007,07,10,2019,1,Monday,FALSE
117,20191011,11,10,2019,5,Friday,TRUE
118,20191023,23,10,2019,3,Wednesday,FALSE
119,20191015,15,10,2019,2,Tuesday,FALSE
120,20191014,14,10,2019,1,Monday,FALSE
121,20191022,22,10,2019,2,Tuesday,FALSE
122,20191009,09,10,2019,3,Wednesday,FALSE
123,20191101,01,11,2019,5,Friday,TRUE
124,20191019,19,10,2019,6,Saturday,TRUE
125,20191103,03,11,2019,0,Sunday,FALSE
126,20191007,07,10,2019,1,Monday,FALSE
127,20191023,23,10,2019,3,Wednesday,FALSE
128,20191104,04,11,2019,1,Monday,FALSE
129,20191103,03,11,2019,0,Sunday,FALSE
130,20191023,23,10,2019,3,Wednesday,FALSE
131,20191011,11,10,2019,5,Friday,TRUE
132,20191011,11,10,2019,5,Friday,TRUE
133,20191020,20,10,2019,0,Sunday,FALSE
134,20191023,23,10,2019,3,Wednesday,FALSE
135,20191004,04,10,2019,5,Friday,TRUE
136,20191023,23,10,2019,3,Wednesday,FALSE
137,20191023,23,10,2019,3,Wednesday,FALSE
138,20191011,11,10,2019,5,Friday,TRUE
139,20191020,20,10,2019,0,Sunday,FALSE
140,20191007,07,10,2019,1,Monday,FALSE
141,20191015,15,10,2019,2,Tuesday,FALSE
142,20191020,20,10,2019,0,Sunday,FALSE
143,20191102,02,11,2019,6,Saturday,TRUE
144,20191018,18,10,2019,5,Friday,TRUE
145,20191023,23,10,2019,3,Wednesday,FALSE
146,20191011,11,10,2019,5,Friday,TRUE
147,20191019,19,10,2019,6,Saturday,TRUE
148,20191030,30,10,2019,3,Wednesday,FALSE
149,20191011,11,10,2019,5,Friday,TRUE
150,20191005,05,10,2019,6,Saturday,TRUE
151,20191019,19,10,2019,6,Saturday,TRUE
152,20191025,25,10,2019,5,Friday,TRUE
153,20191008,08,10,2019,2,Tuesday,FALSE
154,20191014,14,10,2019,1,Monday,FALSE
