part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,frequency_multi,phys_contact,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,duration_multi
3825,3825001,37,NA,NA,M,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4
3825,3825002,11,11,11,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
3825,3825003,9,9,9,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
3825,3825004,NA,25,30,F,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
3825,3825005,NA,20,25,F,5,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
3825,3825006,2,NA,NA,M,2,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5
3825,3825007,NA,25,30,M,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
3825,3825008,NA,25,30,F,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
3825,3825009,NA,20,25,F,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
3825,3825010,42,NA,NA,M,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
3825,3825011,30,NA,NA,F,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
3825,3825012,46,46,46,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
3825,3825013,10,10,10,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
4793,4793001,41,41,41,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
4793,4793002,26,NA,NA,F,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3
4793,4793003,18,NA,NA,F,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
4793,4793004,10,10,10,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
4793,4793005,13,13,13,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
4793,4793006,61,NA,NA,M,3,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4
4793,4793007,49,NA,NA,F,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4
4845,4845001,0,0,0,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
4845,4845002,NA,35,40,M,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3
4845,4845003,23,NA,NA,F,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3
4845,4845004,53,NA,NA,F,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3
4845,4845005,29,29,29,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
4845,4845006,27,NA,NA,F,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3
4845,4845007,30,NA,NA,M,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3
4845,4845008,56,NA,NA,F,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5
4845,4845009,NA,50,55,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
4845,4845010,NA,45,50,M,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
4845,4845011,NA,35,40,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
4845,4845012,NA,65,70,M,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
13427,13427001,NA,45,50,M,NA,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
13427,13427002,NA,30,35,F,NA,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
13427,13427003,NA,30,35,F,NA,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
13427,13427004,NA,50,55,M,NA,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
15907,15907001,38,38,38,F,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5
15907,15907002,NA,25,30,F,5,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
15907,15907003,14,14,14,F,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
15907,15907004,NA,25,35,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
15907,15907005,NA,25,35,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
15907,15907006,NA,25,35,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
15907,15907007,NA,40,45,F,4,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
15907,15907008,43,NA,NA,F,5,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
15907,15907009,12,12,12,F,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4
15907,15907010,NA,25,30,F,4,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
119730,119730001,12,12,12,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
119730,119730002,48,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730003,50,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730004,56,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730005,70,NA,NA,F,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730006,14,14,14,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
119730,119730007,47,47,47,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
119730,119730008,26,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730009,35,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730010,37,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730011,40,NA,NA,F,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730012,43,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
119730,119730013,43,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
120537,120537001,37,37,37,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
120537,120537002,37,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
120537,120537003,36,NA,NA,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
120537,120537004,41,NA,NA,F,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
120537,120537005,26,NA,NA,F,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
