"part_id","hh_id","part_age","part_gender"
3825,"HH3825",41,"M"
4793,"HH4793",42,"M"
4845,"HH4845",27,"F"
13427,"HH13427",43,"M"
15907,"HH15907",40,"M"
119730,"HH119730",49,"M"
120537,"HH120537",42,"M"
135807,"HH135807",43,"F"
149733,"HH149733",35,"M"
154610,"HH154610",36,"F"
180147,"HH180147",40,"F"
190034,"HH190034",31,"F"
207475,"HH207475",32,"F"
213625,"HH213625",33,"M"
215529,"HH215529",47,"M"
221758,"HH221758",39,"F"
255230,"HH255230",39,"F"
272791,"HH272791",47,"F"
274046,"HH274046",39,"F"
285152,"HH285152",34,"F"
293473,"HH293473",43,"F"
318752,"HH318752",44,"M"
339803,"HH339803",32,"F"
441492,"HH441492",47,"M"
447012,"HH447012",39,"M"
482513,"HH482513",35,"F"
487509,"HH487509",20,"F"
543398,"HH543398",39,"M"
614776,"HH614776",41,"F"
662350,"HH662350",40,"F"
680606,"HH680606",33,"M"
723543,"HH723543",38,"F"
726871,"HH726871",39,"F"
751825,"HH751825",31,"M"
892028,"HH892028",37,"F"
932792,"HH932792",43,"M"
1177291,"HH1177291",39,"M"
1421646,"HH1421646",49,"M"
1432206,"HH1432206",36,"M"
1454172,"HH1454172",53,"F"
1602823,"HH1602823",38,"M"
1676207,"HH1676207",39,"F"
1759211,"HH1759211",41,"F"
2038522,"HH2038522",31,"F"
2070031,"HH2070031",31,"F"
2109526,"HH2109526",31,"F"
2255669,"HH2255669",45,"F"
2325729,"HH2325729",42,"M"
2398180,"HH2398180",41,"M"
2435783,"HH2435783",37,"F"
2439480,"HH2439480",51,"F"
2452344,"HH2452344",46,"F"
2470798,"HH2470798",47,"F"
2484669,"HH2484669",40,"M"
2874689,"HH2874689",38,"M"
2991872,"HH2991872",37,"M"
3042290,"HH3042290",35,"M"
3491228,"HH3491228",32,"M"
3686261,"HH3686261",39,"F"
4050797,"HH4050797",30,"M"
4057951,"HH4057951",38,"M"
4172139,"HH4172139",40,"F"
4245014,"HH4245014",48,"M"
4334509,"HH4334509",47,"M"
4371799,"HH4371799",41,"M"
4372152,"HH4372152",36,"M"
4678670,"HH4678670",38,"F"
4897338,"HH4897338",40,"F"
5245145,"HH5245145",29,"F"
5245419,"HH5245419",39,"F"
5347805,"HH5347805",36,"F"
5461565,"HH5461565",37,"M"
5559980,"HH5559980",35,"M"
5928624,"HH5928624",35,"F"
5956252,"HH5956252",42,"F"
5957632,"HH5957632",34,"M"
6141979,"HH6141979",35,"F"
6192076,"HH6192076",31,"F"
6323991,"HH6323991",49,"M"
6540209,"HH6540209",42,"F"
7200106,"HH7200106",41,"F"
7336623,"HH7336623",41,"M"
7566022,"HH7566022",41,"F"
7583935,"HH7583935",44,"F"
7737833,"HH7737833",12,"F"
8103139,"HH8103139",33,"F"
8210421,"HH8210421",42,"F"
8269554,"HH8269554",41,"F"
8345283,"HH8345283",38,"F"
8516142,"HH8516142",38,"F"
8569908,"HH8569908",35,"M"
9352632,"HH9352632",44,"M"
9352642,"HH9352642",32,"F"
9447989,"HH9447989",40,"F"
9571866,"HH9571866",32,"M"
9654869,"HH9654869",51,"F"
9749638,"HH9749638",37,"F"
9762167,"HH9762167",41,"M"
9904363,"HH9904363",32,"F"
9935357,"HH9935357",48,"F"
10002090,"HH10002090",40,"M"
10002570,"HH10002570",40,"F"
10002738,"HH10002738",36,"F"
10002760,"HH10002760",31,"F"
10002861,"HH10002861",33,"F"
20033306,"HH20033306",41,"F"
20033321,"HH20033321",29,"F"
20033323,"HH20033323",43,"M"
20033325,"HH20033325",44,"M"
20033326,"HH20033326",40,"F"
20033339,"HH20033339",47,"F"
20033354,"HH20033354",39,"M"
20033367,"HH20033367",43,"F"
20033390,"HH20033390",40,"F"
20033426,"HH20033426",43,"F"
20033451,"HH20033451",38,"M"
20033463,"HH20033463",43,"F"
20033467,"HH20033467",36,"F"
20033488,"HH20033488",30,"F"
20033492,"HH20033492",38,"M"
20033555,"HH20033555",32,"M"
20033571,"HH20033571",45,"F"
20033614,"HH20033614",36,"F"
20033639,"HH20033639",44,"F"
20033783,"HH20033783",34,"F"
20034297,"HH20034297",53,"M"
20034484,"HH20034484",33,"M"
20034486,"HH20034486",41,"M"
20034514,"HH20034514",37,"M"
20034929,"HH20034929",31,"M"
20035014,"HH20035014",35,"M"
20035017,"HH20035017",27,"F"
20035168,"HH20035168",53,"M"
20035169,"HH20035169",42,"F"
20035266,"HH20035266",42,"F"
20035383,"HH20035383",41,"M"
20035520,"HH20035520",34,"F"
20035528,"HH20035528",34,"M"
20035532,"HH20035532",33,"M"
20035539,"HH20035539",32,"F"
20035818,"HH20035818",35,"M"
20035877,"HH20035877",43,"M"
20035966,"HH20035966",39,"M"
20036338,"HH20036338",33,"M"
20036340,"HH20036340",42,"M"
20036344,"HH20036344",35,"F"
20036372,"HH20036372",34,"M"
20036548,"HH20036548",33,"F"
20037423,"HH20037423",45,"M"
20037425,"HH20037425",33,"M"
20037430,"HH20037430",41,"F"
20037434,"HH20037434",31,"F"
20037559,"HH20037559",38,"M"
20037602,"HH20037602",37,"F"
20037838,"HH20037838",30,"F"
20037844,"HH20037844",33,"M"
20037957,"HH20037957",37,"F"
20056001,"HH20056001",31,"M"
20056009,"HH20056009",36,"F"
20056042,"HH20056042",39,"M"
20056073,"HH20056073",37,"M"
20056117,"HH20056117",44,"F"
20056197,"HH20056197",42,"M"
20056208,"HH20056208",45,"M"
20056222,"HH20056222",42,"F"
20056233,"HH20056233",33,"F"
20056265,"HH20056265",38,"M"
20056399,"HH20056399",35,"M"
20056407,"HH20056407",36,"F"
20056422,"HH20056422",42,"F"
20056424,"HH20056424",44,"M"
20056435,"HH20056435",32,"M"
20056466,"HH20056466",42,"F"
20056616,"HH20056616",38,"F"
20056800,"HH20056800",44,"M"
20056814,"HH20056814",37,"F"
20056914,"HH20056914",41,"M"
20056985,"HH20056985",47,"M"
20057015,"HH20057015",36,"M"
20057062,"HH20057062",51,"M"
20057108,"HH20057108",55,"F"
20057252,"HH20057252",42,"M"
20057505,"HH20057505",41,"M"
20057516,"HH20057516",48,"F"
20057590,"HH20057590",30,"F"
20057788,"HH20057788",38,"F"
20057835,"HH20057835",52,"M"
20057839,"HH20057839",42,"M"
20057898,"HH20057898",33,"F"
20057933,"HH20057933",45,"F"
20057976,"HH20057976",46,"F"
20058001,"HH20058001",41,"M"
20058101,"HH20058101",43,"M"
20058109,"HH20058109",42,"F"
20058229,"HH20058229",41,"F"
20058268,"HH20058268",43,"F"
20058305,"HH20058305",37,"M"
20058452,"HH20058452",41,"F"
20058543,"HH20058543",42,"F"
20058597,"HH20058597",34,"F"
20058682,"HH20058682",38,"F"
20058790,"HH20058790",41,"F"
20058846,"HH20058846",47,"F"
20058951,"HH20058951",41,"M"
20058971,"HH20058971",45,"F"
20059172,"HH20059172",45,"F"
20059282,"HH20059282",42,"M"
20059317,"HH20059317",45,"F"
20059400,"HH20059400",40,"F"
20059443,"HH20059443",40,"M"
20059501,"HH20059501",40,"M"
20059570,"HH20059570",37,"F"
20059651,"HH20059651",40,"M"
20059716,"HH20059716",43,"F"
20059792,"HH20059792",41,"F"
20059874,"HH20059874",32,"F"
20060159,"HH20060159",39,"F"
20060235,"HH20060235",41,"F"
20060465,"HH20060465",32,"F"
20060489,"HH20060489",38,"F"
20060891,"HH20060891",46,"M"
20060979,"HH20060979",44,"F"
20061097,"HH20061097",45,"F"
20061102,"HH20061102",47,"F"
20061236,"HH20061236",41,"F"
20061523,"HH20061523",34,"F"
20061710,"HH20061710",40,"F"
20062027,"HH20062027",37,"F"
20062087,"HH20062087",55,"F"
20062120,"HH20062120",38,"M"
20062128,"HH20062128",42,"F"
20062297,"HH20062297",31,"F"
20062397,"HH20062397",42,"M"
20062412,"HH20062412",38,"M"
20062442,"HH20062442",43,"M"
20062567,"HH20062567",28,"M"
20062605,"HH20062605",38,"F"
20062621,"HH20062621",42,"M"
20062902,"HH20062902",34,"M"
20063116,"HH20063116",44,"F"
20063153,"HH20063153",43,"M"
20063210,"HH20063210",41,"F"
20063251,"HH20063251",37,"F"
