part_id,dayofweek,day,month,year,date,sday_id
3825,5,22,10,2010,2010-10-22,2010.10.22
4793,3,24,11,2010,2010-11-24,2010.11.24
4845,5,29,10,2010,2010-10-29,2010.10.29
13427,3,27,10,2010,2010-10-27,2010.10.27
15907,5,29,10,2010,2010-10-29,2010.10.29
119730,5,29,10,2010,2010-10-29,2010.10.29
120537,2,26,10,2010,2010-10-26,2010.10.26
135807,2,26,10,2010,2010-10-26,2010.10.26
149733,4,28,10,2010,2010-10-28,2010.10.28
154610,3,1,12,2010,2010-12-01,2010.12.01
180147,5,29,10,2010,2010-10-29,2010.10.29
190034,4,28,10,2010,2010-10-28,2010.10.28
207475,NA,NA,10,2010,NA,NA
213625,5,29,10,2010,2010-10-29,2010.10.29
215529,1,25,10,2010,2010-10-25,2010.10.25
221758,5,29,10,2010,2010-10-29,2010.10.29
255230,2,23,11,2010,2010-11-23,2010.11.23
272791,7,24,10,2010,2010-10-24,2010.10.24
274046,1,25,10,2010,2010-10-25,2010.10.25
285152,1,22,11,2010,2010-11-22,2010.11.22
293473,4,18,11,2010,2010-11-18,2010.11.18
318752,6,27,11,2010,2010-11-27,2010.11.27
339803,1,15,11,2010,2010-11-15,2010.11.15
441492,6,23,10,2010,2010-10-23,2010.10.23
447012,5,29,10,2010,2010-10-29,2010.10.29
482513,1,15,11,2010,2010-11-15,2010.11.15
487509,1,25,10,2010,2010-10-25,2010.10.25
543398,5,29,10,2010,2010-10-29,2010.10.29
614776,2,16,11,2010,2010-11-16,2010.11.16
662350,4,28,10,2010,2010-10-28,2010.10.28
680606,5,12,11,2010,2010-11-12,2010.11.12
723543,2,26,10,2010,2010-10-26,2010.10.26
726871,7,16,1,2011,2011-01-16,2011.01.16
751825,7,24,10,2010,2010-10-24,2010.10.24
892028,3,27,10,2010,2010-10-27,2010.10.27
932792,6,20,11,2010,2010-11-20,2010.11.20
1177291,6,20,11,2010,2010-11-20,2010.11.20
1421646,7,24,10,2010,2010-10-24,2010.10.24
1432206,6,20,11,2010,2010-11-20,2010.11.20
1454172,7,21,11,2010,2010-11-21,2010.11.21
1602823,7,28,11,2010,2010-11-28,2010.11.28
1676207,6,20,11,2010,2010-11-20,2010.11.20
1759211,2,18,1,2011,2011-01-18,2011.01.18
2038522,7,24,10,2010,2010-10-24,2010.10.24
2070031,6,20,11,2010,2010-11-20,2010.11.20
