hh_id,country,hh_size,hh_size_reported
HH1000100,NL,2,2
HH1000300,NL,3,3
HH1000600,NL,2,2
HH1000700,NL,2,2
HH1000800,NL,1,1
HH1001000,NL,2,2
HH1001200,NL,4,4
HH1001400,NL,5,5
HH1001500,NL,1,NA
HH1002000,NL,1,1
HH1002300,NL,2,2
HH1002600,NL,4,4
HH1002700,NL,3,NA
HH1002800,NL,2,2
HH1002900,NL,2,4
HH1003000,NL,2,2
HH1003200,NL,2,3
HH1003400,NL,4,NA
HH1003500,NL,5,NA
HH1003600,NL,2,3
HH1003700,NL,5,5
HH1003800,NL,1,NA
HH1003900,NL,1,4
HH1004100,NL,1,NA
HH1004300,NL,3,NA
HH1004400,NL,1,1
HH1004600,NL,2,2
HH1004900,NL,2,2
HH1005400,NL,1,NA
HH1005500,NL,1,3
HH1005800,NL,3,3
HH1006300,NL,4,NA
HH1006400,NL,5,4
HH1006800,NL,3,3
HH1006900,NL,4,4
HH1007000,NL,1,4
HH1007100,NL,4,4
HH1007200,NL,4,4
HH1007400,NL,4,NA
HH1007600,NL,5,4
HH1007700,NL,4,4
HH1007900,NL,2,2
HH1008100,NL,1,3
HH1008200,NL,4,4
HH1008300,NL,2,2
HH1008500,NL,3,3
HH1008600,NL,2,2
HH1008700,NL,3,3
HH1009100,NL,2,2
HH1009300,NL,1,1
HH1009500,NL,1,1
HH1009800,NL,2,2
HH1009900,NL,1,1
HH1010300,NL,2,2
HH1010400,NL,2,2
HH1010500,NL,1,1
HH1010600,NL,2,2
HH1010800,NL,2,6
HH1010900,NL,4,4
HH1011200,NL,1,NA
HH1011300,NL,3,3
HH1011600,NL,3,NA
HH1011700,NL,2,2
HH1011800,NL,4,4
HH1011900,NL,5,5
HH1012000,NL,2,2
HH1012100,NL,1,NA
HH1012200,NL,5,4
HH1012800,NL,4,42
HH1013000,NL,2,4
HH1013400,NL,4,4
HH1013600,NL,6,6
HH1013700,NL,1,1
HH1013900,NL,1,NA
HH1014000,NL,3,3
HH1014100,NL,4,4
HH1014300,NL,4,4
HH1014500,NL,4,4
HH1014600,NL,3,3
HH1014800,NL,2,2
HH1014900,NL,3,3
