part_id,hh_id,part_age,part_gender
1000100,HH1000100,9,M
1000300,HH1000300,1,F
1000600,HH1000600,64,M
1000700,HH1000700,67,F
1000800,HH1000800,53,F
1001000,HH1001000,67,M
1001200,HH1001200,60,F
1001400,HH1001400,2,M
1001500,HH1001500,70,M
1002000,HH1002000,72,F
1002300,HH1002300,61,M
1002600,HH1002600,16,M
1002700,HH1002700,29,F
1002800,HH1002800,35,M
1002900,HH1002900,37,F
1003000,HH1003000,37,M
1003200,HH1003200,24,F
1003400,HH1003400,7,M
1003500,HH1003500,8,M
1003600,HH1003600,9,F
1003700,HH1003700,15,F
1003800,HH1003800,61,F
1003900,HH1003900,9,M
1004100,HH1004100,77,F
1004300,HH1004300,0,F
1004400,HH1004400,77,M
1004600,HH1004600,81,F
1004900,HH1004900,87,F
1005400,HH1005400,58,F
1005500,HH1005500,1,F
1005800,HH1005800,11,M
1006300,HH1006300,13,M
1006400,HH1006400,17,F
1006800,HH1006800,24,F
1006900,HH1006900,2,F
1007000,HH1007000,3,M
1007100,HH1007100,57,M
1007200,HH1007200,43,F
1007400,HH1007400,56,M
1007600,HH1007600,51,M
1007700,HH1007700,50,F
1007900,HH1007900,70,M
1008100,HH1008100,0,F
1008200,HH1008200,12,M
1008300,HH1008300,60,F
1008500,HH1008500,22,F
1008600,HH1008600,54,F
1008700,HH1008700,23,M
1009100,HH1009100,58,F
1009300,HH1009300,53,M
1009500,HH1009500,60,F
1009800,HH1009800,31,F
1009900,HH1009900,62,M
1010300,HH1010300,64,M
1010400,HH1010400,68,M
1010500,HH1010500,72,F
1010600,HH1010600,67,F
1010800,HH1010800,15,M
1010900,HH1010900,16,F
1011200,HH1011200,56,M
1011300,HH1011300,21,M
1011600,HH1011600,60,M
1011700,HH1011700,76,F
1011800,HH1011800,8,M
1011900,HH1011900,16,F
1012000,HH1012000,61,M
1012100,HH1012100,28,F
1012200,HH1012200,28,F
1012800,HH1012800,31,M
1013000,HH1013000,28,M
1013400,HH1013400,6,M
1013600,HH1013600,12,M
1013700,HH1013700,79,F
1013900,HH1013900,83,F
1014000,HH1014000,3,M
1014100,HH1014100,42,M
1014300,HH1014300,0,F
1014500,HH1014500,13,F
1014600,HH1014600,14,F
1014800,HH1014800,72,F
1014900,HH1014900,0,F
1015000,HH1015000,9,M
1015100,HH1015100,22,F
1015300,HH1015300,19,F
1015400,HH1015400,49,F
1015600,HH1015600,46,F
1015800,HH1015800,69,F
1015900,HH1015900,44,F
1016100,HH1016100,72,F
1016200,HH1016200,59,M
1016400,HH1016400,77,F
1016600,HH1016600,6,M
1016700,HH1016700,78,F
1016800,HH1016800,64,M
1017000,HH1017000,62,F
1017100,HH1017100,61,M
1017300,HH1017300,69,M
1017400,HH1017400,71,F
1017600,HH1017600,14,M
1017900,HH1017900,25,F
1018100,HH1018100,16,M
1018400,HH1018400,56,F
1018500,HH1018500,0,F
1018800,HH1018800,42,M
1019000,HH1019000,42,F
1019100,HH1019100,39,F
1019500,HH1019500,4,M
1019600,HH1019600,22,M
1019800,HH1019800,8,M
1019900,HH1019900,24,M
1020000,HH1020000,49,F
1020100,HH1020100,29,F
1020500,HH1020500,76,M
1020600,HH1020600,10,M
1020700,HH1020700,68,F
1020900,HH1020900,78,F
1021000,HH1021000,75,F
1021200,HH1021200,34,M
1021300,HH1021300,84,M
1021500,HH1021500,16,F
1021800,HH1021800,14,F
1021900,HH1021900,7,F
1022200,HH1022200,28,F
1022500,HH1022500,8,M
1022600,HH1022600,32,F
1022700,HH1022700,34,F
1022900,HH1022900,27,F
1023600,HH1023600,44,M
1023700,HH1023700,39,F
1023800,HH1023800,48,M
1024000,HH1024000,50,M
1024200,HH1024200,31,F
1024400,HH1024400,3,M
1024700,HH1024700,32,M
1024800,HH1024800,19,M
1024900,HH1024900,9,F
1025300,HH1025300,65,M
1025500,HH1025500,19,F
1025800,HH1025800,4,F
1025900,HH1025900,49,F
1026000,HH1026000,51,F
1026200,HH1026200,0,M
1026300,HH1026300,76,F
1026500,HH1026500,65,F
1026600,HH1026600,50,F
1026700,HH1026700,49,F
1026800,HH1026800,1,M
1026900,HH1026900,73,F
1027600,HH1027600,5,F
1027700,HH1027700,7,F
1027900,HH1027900,10,F
1028000,HH1028000,4,F
1028200,HH1028200,0,M
1028400,HH1028400,0,M
1028500,HH1028500,0,M
1028800,HH1028800,0,M
1029200,HH1029200,38,F
1029400,HH1029400,37,F
1029600,HH1029600,49,M
1029800,HH1029800,39,F
1030200,HH1030200,77,M
1030300,HH1030300,76,M
1030600,HH1030600,86,M
1030800,HH1030800,71,F
1031100,HH1031100,2,M
1031500,HH1031500,12,M
1031900,HH1031900,10,F
1032100,HH1032100,0,M
1032300,HH1032300,39,F
1032400,HH1032400,67,M
1032600,HH1032600,48,F
1032700,HH1032700,27,F
1032800,HH1032800,33,F
1033200,HH1033200,64,M
1033300,HH1033300,60,F
1033400,HH1033400,26,F
1033500,HH1033500,51,M
1033700,HH1033700,0,F
1033800,HH1033800,26,F
1033900,HH1033900,62,F
1034200,HH1034200,1,M
1034400,HH1034400,13,F
1034500,HH1034500,47,M
1034800,HH1034800,51,M
1034900,HH1034900,76,F
1035000,HH1035000,56,F
1035300,HH1035300,56,F
1035400,HH1035400,21,F
1035500,HH1035500,54,F
1035700,HH1035700,59,M
1035800,HH1035800,20,F
1035900,HH1035900,36,F
1036000,HH1036000,76,F
1036100,HH1036100,27,F
1036400,HH1036400,76,M
1036500,HH1036500,43,F
1036700,HH1036700,78,M
1036800,HH1036800,77,M
1036900,HH1036900,69,F
1037200,HH1037200,66,F
1037300,HH1037300,69,M
1037500,HH1037500,80,F
1037600,HH1037600,75,M
1037900,HH1037900,18,F
1038100,HH1038100,18,M
1038200,HH1038200,21,M
1038300,HH1038300,70,F
1038800,HH1038800,8,F
1039000,HH1039000,16,M
1039100,HH1039100,18,F
1039400,HH1039400,31,M
1039600,HH1039600,69,M
1040100,HH1040100,19,F
1040700,HH1040700,7,M
1040800,HH1040800,38,F
1040900,HH1040900,29,M
1041100,HH1041100,40,M
1041200,HH1041200,6,M
1041300,HH1041300,2,F
1041500,HH1041500,22,M
1041600,HH1041600,18,F
1041700,HH1041700,32,F
1041800,HH1041800,74,F
1042000,HH1042000,69,M
1042300,HH1042300,70,F
1042800,HH1042800,33,M
1043300,HH1043300,85,F
1043400,HH1043400,68,F
1043800,HH1043800,19,M
1044400,HH1044400,72,F
1044600,HH1044600,8,M
1044700,HH1044700,31,F
1044900,HH1044900,65,M
1045300,HH1045300,23,M
1045400,HH1045400,71,M
1045800,HH1045800,75,M
1045900,HH1045900,25,F
1046000,HH1046000,24,F
1046300,HH1046300,27,F
1046400,HH1046400,0,F
1046500,HH1046500,22,F
1047000,HH1047000,29,F
1047100,HH1047100,3,F
1047200,HH1047200,76,M
1047700,HH1047700,44,F
1047900,HH1047900,66,F
1048000,HH1048000,9,M
1048100,HH1048100,66,F
1048300,HH1048300,0,M
1048500,HH1048500,15,F
1048900,HH1048900,26,F
1049100,HH1049100,58,M
1049300,HH1049300,8,M
1049400,HH1049400,37,M
1049600,HH1049600,21,M
1049700,HH1049700,13,M
1049800,HH1049800,14,F
1050100,HH1050100,60,M
1050300,HH1050300,27,M
1050400,HH1050400,1,F
1050500,HH1050500,0,F
1050600,HH1050600,24,F
1050700,HH1050700,22,M
1050800,HH1050800,35,F
1050900,HH1050900,55,F
1051400,HH1051400,61,M
1051500,HH1051500,83,M
1051900,HH1051900,72,F
1052000,HH1052000,70,F
1052100,HH1052100,66,M
1052400,HH1052400,59,F
1052500,HH1052500,34,F
1052700,HH1052700,26,M
1052900,HH1052900,16,F
1053000,HH1053000,50,M
1053200,HH1053200,1,F
1053400,HH1053400,60,F
1053500,HH1053500,0,F
1053800,HH1053800,59,F
1053900,HH1053900,0,M
1054100,HH1054100,53,F
1054200,HH1054200,79,F
1054300,HH1054300,61,M
1054700,HH1054700,7,M
1054800,HH1054800,15,F
1054900,HH1054900,41,M
1055100,HH1055100,12,M
1055200,HH1055200,44,F
1055400,HH1055400,5,M
1055600,HH1055600,17,F
1055700,HH1055700,16,M
1055800,HH1055800,66,M
1056500,HH1056500,70,M
1056600,HH1056600,0,M
1056700,HH1056700,70,M
1057400,HH1057400,0,M
1057500,HH1057500,68,F
1057600,HH1057600,73,F
1057700,HH1057700,68,M
1057800,HH1057800,23,F
1058400,HH1058400,76,M
1058500,HH1058500,63,M
1058800,HH1058800,0,F
1059200,HH1059200,53,F
1059400,HH1059400,31,M
1059700,HH1059700,26,M
1059900,HH1059900,41,F
1060100,HH1060100,61,F
1060700,HH1060700,28,F
1061300,HH1061300,45,F
1061500,HH1061500,47,F
1061800,HH1061800,24,M
1061900,HH1061900,61,F
1062000,HH1062000,25,F
1062100,HH1062100,77,M
1062200,HH1062200,61,F
1063300,HH1063300,72,F
1063500,HH1063500,67,M
1063800,HH1063800,61,F
1064100,HH1064100,77,F
1064300,HH1064300,22,M
1064500,HH1064500,11,M
1064600,HH1064600,79,M
1065000,HH1065000,37,F
1065400,HH1065400,61,F
1065600,HH1065600,60,F
1065700,HH1065700,71,F
1065900,HH1065900,0,F
1066000,HH1066000,37,F
1066100,HH1066100,0,M
1066400,HH1066400,16,F
1066500,HH1066500,61,F
