part_id,round,survey_date,survey_day,dayofweek,year
1000100,0,2016-02-14,Sunday,7,2016
1000300,0,2016-02-14,Sunday,7,2016
1000600,0,2016-02-07,Sunday,7,2016
1000700,0,2016-02-07,Sunday,7,2016
1000800,0,2016-02-14,Sunday,7,2016
1001000,0,2016-02-01,Monday,1,2016
1001200,0,2016-02-18,Sunday,7,2016
1001400,0,2016-02-14,Sunday,7,2016
1001500,0,2016-01-30,Thursday,4,2016
1002000,0,2016-02-14,Sunday,7,2016
1002300,0,2016-02-14,Sunday,7,2016
1002600,0,2016-02-13,Saturday,6,2016
1002700,0,2016-02-14,Sunday,7,2016
1002800,0,2016-02-06,Saturday,6,2016
1002900,0,2016-02-01,Monday,1,2016
1003000,0,2016-02-15,Monday,1,2016
1003200,0,2016-02-14,Saturday,6,2016
1003400,0,2016-02-16,Tuesday,2,2016
1003500,0,NA,Tuesday,2,NA
1003600,0,2016-02-13,Saturday,6,2016
1003700,0,2016-03-01,Wednesday,3,2016
1003800,0,2016-01-31,Sunday,7,2016
1003900,0,2016-02-02,Tuesday,2,2016
1004100,0,2016-02-13,Saturday,6,2016
1004300,0,2016-02-16,Tuesday,2,2016
1004400,0,2016-02-08,Sunday,7,2016
1004600,0,NA,Friday,5,NA
1004900,0,2016-02-16,Tuesday,2,2016
1005400,0,2016-02-10,Wednesday,3,2016
1005500,0,2016-02-15,Monday,1,2016
1005800,0,2016-02-29,Monday,1,2016
1006300,0,2016-02-16,Tuesday,2,2016
1006400,0,2016-09-01,Thursday,4,2016
1006800,0,2016-04-09,Saturday,6,2016
1006900,0,2016-02-16,Tuesday,2,2016
1007000,0,2016-02-16,Tuesday,2,2016
1007100,0,2016-02-11,Thursday,4,2016
1007200,0,2016-02-16,Tuesday,2,2016
1007400,0,2016-02-16,Tuesday,2,2016
1007600,0,2016-02-17,Wednesday,3,2016
1007700,0,2016-02-22,Monday,1,2016
1007900,0,2016-02-24,Wednesday,3,2016
1008100,0,2016-02-21,Tuesday,2,2016
1008200,0,2016-02-24,Wednesday,3,2016
1008300,0,2016-03-02,Wednesday,3,2016
1008500,0,2016-03-02,Wednesday,3,2016
1008600,0,NA,Saturday,6,NA
1008700,0,2016-03-01,Tuesday,2,2016
1009100,0,2016-03-02,Wednesday,3,2016
1009300,0,2016-03-02,Wednesday,3,2016
1009500,0,2016-03-05,Saturday,6,2016
1009800,0,2016-03-05,Saturday,6,2016
1009900,0,2016-02-24,Wednesday,3,2016
1010300,0,2016-02-28,Monday,1,2016
1010400,0,2016-02-20,Saturday,6,2016
1010500,0,2016-02-28,Sunday,7,2016
1010600,0,2016-03-01,Tuesday,2,2016
1010800,0,2016-02-21,Monday,1,2016
1010900,0,2016-02-27,Saturday,6,2016
1011200,0,NA,Sunday,7,NA
